km,station,train_id,time,hr,min,scenario
68,LAWRENCE,REG (C-EXP) 405_multi_1,406,6,46,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 903_single_7,346,5,46,Baseline SB
2,TOWNSEND / 4TH AND KING $,HSR 903_single_7,351,5,51,Baseline SB
78,SAN JOSE,HSR 903_single_7,402,6,42,Baseline SB
126,GILROY (HSR) $,HSR 903_single_7,427,7,7,Baseline SB
78,SAN JOSE,IC (HSR) 703_single_8,408,6,48,Baseline SB
126,GILROY (HSR) $,IC (HSR) 703_single_8,433,7,13,Baseline SB
78,SAN JOSE,IC (HSR) 753_single_9,414,6,54,Baseline SB
126,GILROY (HSR) $,IC (HSR) 753_single_9,439,7,19,Baseline SB
78,SAN JOSE,REG (C-EXP) 405_multi_1,416,6,56,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 405_multi_1,419,6,59,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 505_single_10,351,5,51,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 505_single_10,356,5,56,Baseline SB
5,22nd STREET,REG (C-EXP) 505_single_10,361,6,1,Baseline SB
20,SAN BRUNO,REG (C-EXP) 505_single_10,369,6,9,Baseline SB
24,MILLBRAE,REG (C-EXP) 505_single_10,373,6,13,Baseline SB
31,SAN MATEO,REG (C-EXP) 505_single_10,377,6,17,Baseline SB
35,HILLSDALE,REG (C-EXP) 505_single_10,382,6,22,Baseline SB
38,BELMONT,REG (C-EXP) 505_single_10,385,6,25,Baseline SB
49,MENLO PARK,REG (C-EXP) 505_single_10,392,6,32,Baseline SB
51,PALO ALTO,REG (C-EXP) 505_single_10,395,6,35,Baseline SB
53,CALIFORNIA AVENUE,REG (C-EXP) 505_single_10,398,6,38,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 505_single_10,403,6,43,Baseline SB
65,SUNNYVALE,REG (C-EXP) 505_single_10,407,6,47,Baseline SB
74,SANTA CLARA,REG (C-EXP) 505_single_10,413,6,53,Baseline SB
78,SAN JOSE,REG (C-EXP) 505_single_10,420,7,0,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 505_single_10,423,7,3,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 2_multi_1,356,5,56,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 2_multi_1,361,6,1,Baseline SB
5,22nd STREET,REG (C-EXP) 2_multi_1,366,6,6,Baseline SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 2_multi_1,373,6,13,Baseline SB
24,MILLBRAE,REG (C-EXP) 2_multi_1,378,6,18,Baseline SB
29,BURLINGAME,REG (C-EXP) 2_multi_1,382,6,22,Baseline SB
31,SAN MATEO,REG (C-EXP) 2_multi_1,385,6,25,Baseline SB
35,HILLSDALE,REG (C-EXP) 2_multi_1,388,6,28,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 2_multi_1,394,6,34,Baseline SB
47,ATHERTON,REG (C-EXP) 2_multi_1,398,6,38,Baseline SB
51,PALO ALTO,REG (C-EXP) 2_multi_1,401,6,41,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 2_multi_1,408,6,48,Baseline SB
68,LAWRENCE,REG (C-EXP) 2_multi_1,417,6,57,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 805_single_11,370,6,10,Baseline SB
24,MILLBRAE,HSR 805_single_11,390,6,30,Baseline SB
78,SAN JOSE,HSR 805_single_11,425,7,5,Baseline SB
126,GILROY (HSR) $,HSR 805_single_11,451,7,31,Baseline SB
78,SAN JOSE,REG (C-EXP) 2_multi_1,428,7,8,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 2_multi_1,431,7,11,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 407_multi_1,373,6,13,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 407_multi_1,378,6,18,Baseline SB
11,BAYSHORE,REG (C-EXP) 407_multi_1,389,6,29,Baseline SB
24,MILLBRAE,REG (C-EXP) 407_multi_1,398,6,38,Baseline SB
27,BROADWAY,REG (C-EXP) 407_multi_1,401,6,41,Baseline SB
33,HAYWARD PARK,REG (C-EXP) 407_multi_1,405,6,45,Baseline SB
35,HILLSDALE,REG (C-EXP) 407_multi_1,408,6,48,Baseline SB
40,SAN CARLOS,REG (C-EXP) 407_multi_1,412,6,52,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 407_multi_1,416,6,56,Baseline SB
51,PALO ALTO,REG (C-EXP) 407_multi_1,421,7,1,Baseline SB
57,SAN ANTONIO,REG (C-EXP) 407_multi_1,425,7,5,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 407_multi_1,429,7,9,Baseline SB
65,SUNNYVALE,REG (C-EXP) 407_multi_1,433,7,13,Baseline SB
68,LAWRENCE,REG (C-EXP) 407_multi_1,436,7,16,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 905_single_12,376,6,16,Baseline SB
2,TOWNSEND / 4TH AND KING $,HSR 905_single_12,381,6,21,Baseline SB
78,SAN JOSE,HSR 905_single_12,432,7,12,Baseline SB
126,GILROY (HSR) $,HSR 905_single_12,457,7,37,Baseline SB
78,SAN JOSE,IC (HSR) 755_single_13,444,7,24,Baseline SB
126,GILROY (HSR) $,IC (HSR) 755_single_13,469,7,49,Baseline SB
78,SAN JOSE,REG (C-EXP) 407_multi_1,446,7,26,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 407_multi_1,449,7,29,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 507_single_14,381,6,21,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 507_single_14,386,6,26,Baseline SB
5,22nd STREET,REG (C-EXP) 507_single_14,391,6,31,Baseline SB
20,SAN BRUNO,REG (C-EXP) 507_single_14,399,6,39,Baseline SB
24,MILLBRAE,REG (C-EXP) 507_single_14,403,6,43,Baseline SB
31,SAN MATEO,REG (C-EXP) 507_single_14,407,6,47,Baseline SB
