km,station,train_id,time,hr,min,scenario
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 413_multi_1,508,8,28,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 413_multi_1,513,8,33,Moderate SB
5,22nd STREET,REG (C-EXP) 413_multi_1,518,8,38,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 413_multi_1,526,8,46,Moderate SB
24,MILLBRAE,REG (C-EXP) 413_multi_1,531,8,51,Moderate SB
35,HILLSDALE,REG (C-EXP) 413_multi_1,538,8,58,Moderate SB
43,REDWOOD CITY,REG (C-EXP) 413_multi_1,543,9,3,Moderate SB
51,PALO ALTO,REG (C-EXP) 413_multi_1,548,9,8,Moderate SB
60,MOUNTAIN VIEW,REG (C-EXP) 413_multi_1,554,9,14,Moderate SB
65,SUNNYVALE,REG (C-EXP) 413_multi_1,559,9,19,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-LCL) 207_multi_1,512,8,32,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-LCL) 207_multi_1,517,8,37,Moderate SB
5,22nd STREET,REG (C-LCL) 207_multi_1,521,8,41,Moderate SB
11,BAYSHORE,REG (C-LCL) 207_multi_1,525,8,45,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-LCL) 207_multi_1,529,8,49,Moderate SB
20,SAN BRUNO,REG (C-LCL) 207_multi_1,533,8,53,Moderate SB
24,MILLBRAE,REG (C-LCL) 207_multi_1,536,8,56,Moderate SB
29,BURLINGAME,REG (C-LCL) 207_multi_1,540,9,0,Moderate SB
33,HAYWARD PARK,REG (C-LCL) 207_multi_1,544,9,4,Moderate SB
35,HILLSDALE,REG (C-LCL) 207_multi_1,548,9,8,Moderate SB
38,BELMONT,REG (C-LCL) 207_multi_1,551,9,11,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 831_single_30,520,8,40,Moderate SB
24,MILLBRAE,HSR 831_single_30,541,9,1,Moderate SB
78,SAN JOSE,HSR 831_single_30,573,9,33,Moderate SB
126,GILROY (HSR) $,HSR 831_single_30,598,9,58,Moderate SB
78,SAN JOSE,REG (C-EXP) 413_multi_1,575,9,35,Moderate SB
81,TAMIEN (HSR) $,REG (C-EXP) 413_multi_1,579,9,39,Moderate SB
86,CAPITOL (HSR) $,REG (C-EXP) 413_multi_1,583,9,43,Moderate SB
91,BLOSSOM HILL (HSR) $,REG (C-EXP) 413_multi_1,586,9,46,Moderate SB
78,SAN JOSE,HSR 731_single_31,583,9,43,Moderate SB
126,GILROY (HSR) $,HSR 731_single_31,609,10,9,Moderate SB
43,REDWOOD CITY,REG (C-LCL) 13_multi_1,545,9,5,Moderate SB
49,MENLO PARK,REG (C-LCL) 13_multi_1,549,9,9,Moderate SB
51,PALO ALTO,REG (C-LCL) 13_multi_1,552,9,12,Moderate SB
53,CALIFORNIA AVENUE,REG (C-LCL) 13_multi_1,558,9,18,Moderate SB
57,SAN ANTONIO,REG (C-LCL) 13_multi_1,562,9,22,Moderate SB
60,MOUNTAIN VIEW,REG (C-LCL) 13_multi_1,566,9,26,Moderate SB
65,SUNNYVALE,REG (C-LCL) 13_multi_1,569,9,29,Moderate SB
68,LAWRENCE,REG (C-LCL) 13_multi_1,572,9,32,Moderate SB
74,SANTA CLARA,REG (C-LCL) 13_multi_1,577,9,37,Moderate SB
78,SAN JOSE,REG (C-LCL) 13_multi_1,585,9,45,Moderate SB
81,TAMIEN (HSR) $,REG (C-LCL) 13_multi_1,588,9,48,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 315_multi_1,523,8,43,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 315_multi_1,528,8,48,Moderate SB
5,22nd STREET,REG (C-EXP) 315_multi_1,533,8,53,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 315_multi_1,541,9,1,Moderate SB
24,MILLBRAE,REG (C-EXP) 315_multi_1,546,9,6,Moderate SB
35,HILLSDALE,REG (C-EXP) 315_multi_1,553,9,13,Moderate SB
43,REDWOOD CITY,REG (C-EXP) 315_multi_1,558,9,18,Moderate SB
51,PALO ALTO,REG (C-EXP) 315_multi_1,563,9,23,Moderate SB
60,MOUNTAIN VIEW,REG (C-EXP) 315_multi_1,569,9,29,Moderate SB
65,SUNNYVALE,REG (C-EXP) 315_multi_1,574,9,34,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-LCL) 15_multi_1,527,8,47,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-LCL) 15_multi_1,531,8,51,Moderate SB
5,22nd STREET,REG (C-LCL) 15_multi_1,536,8,56,Moderate SB
11,BAYSHORE,REG (C-LCL) 15_multi_1,540,9,0,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-LCL) 15_multi_1,545,9,5,Moderate SB
20,SAN BRUNO,REG (C-LCL) 15_multi_1,548,9,8,Moderate SB
27,BROADWAY,REG (C-LCL) 15_multi_1,553,9,13,Moderate SB
31,SAN MATEO,REG (C-LCL) 15_multi_1,556,9,16,Moderate SB
33,HAYWARD PARK,REG (C-LCL) 15_multi_1,559,9,19,Moderate SB
35,HILLSDALE,REG (C-LCL) 15_multi_1,563,9,23,Moderate SB
40,SAN CARLOS,REG (C-LCL) 15_multi_1,567,9,27,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 833_single_32,535,8,55,Moderate SB
2,TOWNSEND / 4TH AND KING $,HSR 833_single_32,541,9,1,Moderate SB
24,MILLBRAE,HSR 833_single_32,556,9,16,Moderate SB
78,SAN JOSE,HSR 833_single_32,588,9,48,Moderate SB
126,GILROY (HSR) $,HSR 833_single_32,613,10,13,Moderate SB
78,SAN JOSE,REG (C-EXP) 315_multi_1,590,9,50,Moderate SB
81,TAMIEN (HSR) $,REG (C-EXP) 315_multi_1,594,9,54,Moderate SB
86,CAPITOL (HSR) $,REG (C-EXP) 315_multi_1,598,9,58,Moderate SB
91,BLOSSOM HILL (HSR) $,REG (C-EXP) 315_multi_1,602,10,2,Moderate SB
110,MORGAN HILL (HSR) $,REG (C-EXP) 315_multi_1,611,10,11,Moderate SB
126,GILROY (HSR) $,REG (C-EXP) 315_multi_1,620,10,20,Moderate SB
43,REDWOOD CITY,REG (C-LCL) 207_multi_1,560,9,20,Moderate SB
49,MENLO PARK,REG (C-LCL) 207_multi_1,564,9,24,Moderate SB
51,PALO ALTO,REG (C-LCL) 207_multi_1,567,9,27,Moderate SB
53,CALIFORNIA AVENUE,REG (C-LCL) 207_multi_1,573,9,33,Moderate SB
57,SAN ANTONIO,REG (C-LCL) 207_multi_1,577,9,37,Moderate SB
60,MOUNTAIN VIEW,REG (C-LCL) 207_multi_1,580,9,40,Moderate SB
65,SUNNYVALE,REG (C-LCL) 207_multi_1,584,9,44,Moderate SB
68,LAWRENCE,REG (C-LCL) 207_multi_1,587,9,47,Moderate SB
74,SANTA CLARA,REG (C-LCL) 207_multi_1,591,9,51,Moderate SB
78,SAN JOSE,REG (C-LCL) 207_multi_1,600,10,0,Moderate SB
81,TAMIEN (HSR) $,REG (C-LCL) 207_multi_1,603,10,3,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 415_multi_1,538,8,58,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 415_multi_1,543,9,3,Moderate SB
5,22nd STREET,REG (C-EXP) 415_multi_1,548,9,8,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 415_multi_1,556,9,16,Moderate SB
24,MILLBRAE,REG (C-EXP) 415_multi_1,561,9,21,Moderate SB
35,HILLSDALE,REG (C-EXP) 415_multi_1,568,9,28,Moderate SB
43,REDWOOD CITY,REG (C-EXP) 415_multi_1,573,9,33,Moderate SB
51,PALO ALTO,REG (C-EXP) 415_multi_1,578,9,38,Moderate SB
60,MOUNTAIN VIEW,REG (C-EXP) 415_multi_1,584,9,44,Moderate SB
65,SUNNYVALE,REG (C-EXP) 415_multi_1,589,9,49,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-LCL) 109_multi_1,542,9,2,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-LCL) 109_multi_1,547,9,7,Moderate SB
5,22nd STREET,REG (C-LCL) 109_multi_1,551,9,11,Moderate SB
11,BAYSHORE,REG (C-LCL) 109_multi_1,555,9,15,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-LCL) 109_multi_1,560,9,20,Moderate SB
20,SAN BRUNO,REG (C-LCL) 109_multi_1,563,9,23,Moderate SB
24,MILLBRAE,REG (C-LCL) 109_multi_1,567,9,27,Moderate SB
29,BURLINGAME,REG (C-LCL) 109_multi_1,570,9,30,Moderate SB
33,HAYWARD PARK,REG (C-LCL) 109_multi_1,574,9,34,Moderate SB
35,HILLSDALE,REG (C-LCL) 109_multi_1,578,9,38,Moderate SB
38,BELMONT,REG (C-LCL) 109_multi_1,581,9,41,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 835_single_33,550,9,10,Moderate SB
24,MILLBRAE,HSR 835_single_33,571,9,31,Moderate SB
78,SAN JOSE,HSR 835_single_33,603,10,3,Moderate SB
126,GILROY (HSR) $,HSR 835_single_33,628,10,28,Moderate SB
78,SAN JOSE,REG (C-EXP) 415_multi_1,605,10,5,Moderate SB
81,TAMIEN (HSR) $,REG (C-EXP) 415_multi_1,609,10,9,Moderate SB
86,CAPITOL (HSR) $,REG (C-EXP) 415_multi_1,613,10,13,Moderate SB
91,BLOSSOM HILL (HSR) $,REG (C-EXP) 415_multi_1,616,10,16,Moderate SB
78,SAN JOSE,HSR 735_single_34,613,10,13,Moderate SB
126,GILROY (HSR) $,HSR 735_single_34,639,10,39,Moderate SB
43,REDWOOD CITY,REG (C-LCL) 15_multi_1,575,9,35,Moderate SB
49,MENLO PARK,REG (C-LCL) 15_multi_1,579,9,39,Moderate SB
51,PALO ALTO,REG (C-LCL) 15_multi_1,582,9,42,Moderate SB
53,CALIFORNIA AVENUE,REG (C-LCL) 15_multi_1,588,9,48,Moderate SB
57,SAN ANTONIO,REG (C-LCL) 15_multi_1,592,9,52,Moderate SB
60,MOUNTAIN VIEW,REG (C-LCL) 15_multi_1,596,9,56,Moderate SB
65,SUNNYVALE,REG (C-LCL) 15_multi_1,599,9,59,Moderate SB
68,LAWRENCE,REG (C-LCL) 15_multi_1,602,10,2,Moderate SB
74,SANTA CLARA,REG (C-LCL) 15_multi_1,607,10,7,Moderate SB
78,SAN JOSE,REG (C-LCL) 15_multi_1,615,10,15,Moderate SB
81,TAMIEN (HSR) $,REG (C-LCL) 15_multi_1,618,10,18,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 317_multi_1,553,9,13,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 317_multi_1,558,9,18,Moderate SB
5,22nd STREET,REG (C-EXP) 317_multi_1,563,9,23,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 317_multi_1,571,9,31,Moderate SB
24,MILLBRAE,REG (C-EXP) 317_multi_1,576,9,36,Moderate SB
35,HILLSDALE,REG (C-EXP) 317_multi_1,583,9,43,Moderate SB
43,REDWOOD CITY,REG (C-EXP) 317_multi_1,588,9,48,Moderate SB
51,PALO ALTO,REG (C-EXP) 317_multi_1,593,9,53,Moderate SB
60,MOUNTAIN VIEW,REG (C-EXP) 317_multi_1,599,9,59,Moderate SB
65,SUNNYVALE,REG (C-EXP) 317_multi_1,604,10,4,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-LCL) 17_multi_1,557,9,17,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-LCL) 17_multi_1,561,9,21,Moderate SB
5,22nd STREET,REG (C-LCL) 17_multi_1,566,9,26,Moderate SB
11,BAYSHORE,REG (C-LCL) 17_multi_1,570,9,30,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-LCL) 17_multi_1,575,9,35,Moderate SB
20,SAN BRUNO,REG (C-LCL) 17_multi_1,578,9,38,Moderate SB
27,BROADWAY,REG (C-LCL) 17_multi_1,583,9,43,Moderate SB
31,SAN MATEO,REG (C-LCL) 17_multi_1,586,9,46,Moderate SB
33,HAYWARD PARK,REG (C-LCL) 17_multi_1,589,9,49,Moderate SB
35,HILLSDALE,REG (C-LCL) 17_multi_1,593,9,53,Moderate SB
40,SAN CARLOS,REG (C-LCL) 17_multi_1,597,9,57,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 837_single_35,565,9,25,Moderate SB
2,TOWNSEND / 4TH AND KING $,HSR 837_single_35,571,9,31,Moderate SB
24,MILLBRAE,HSR 837_single_35,586,9,46,Moderate SB
78,SAN JOSE,HSR 837_single_35,618,10,18,Moderate SB
126,GILROY (HSR) $,HSR 837_single_35,643,10,43,Moderate SB
78,SAN JOSE,REG (C-EXP) 317_multi_1,620,10,20,Moderate SB
81,TAMIEN (HSR) $,REG (C-EXP) 317_multi_1,624,10,24,Moderate SB
86,CAPITOL (HSR) $,REG (C-EXP) 317_multi_1,628,10,28,Moderate SB
91,BLOSSOM HILL (HSR) $,REG (C-EXP) 317_multi_1,632,10,32,Moderate SB
110,MORGAN HILL (HSR) $,REG (C-EXP) 317_multi_1,641,10,41,Moderate SB
126,GILROY (HSR) $,REG (C-EXP) 317_multi_1,650,10,50,Moderate SB
78,SAN JOSE,HSR nan_single_36,628,10,28,Moderate SB
126,GILROY (HSR) $,HSR nan_single_36,654,10,54,Moderate SB
43,REDWOOD CITY,REG (C-LCL) 109_multi_1,590,9,50,Moderate SB
47,ATHERTON,REG (C-LCL) 109_multi_1,593,9,53,Moderate SB
51,PALO ALTO,REG (C-LCL) 109_multi_1,597,9,57,Moderate SB
53,CALIFORNIA AVENUE,REG (C-LCL) 109_multi_1,603,10,3,Moderate SB
57,SAN ANTONIO,REG (C-LCL) 109_multi_1,607,10,7,Moderate SB
60,MOUNTAIN VIEW,REG (C-LCL) 109_multi_1,611,10,11,Moderate SB
65,SUNNYVALE,REG (C-LCL) 109_multi_1,614,10,14,Moderate SB
68,LAWRENCE,REG (C-LCL) 109_multi_1,617,10,17,Moderate SB
74,SANTA CLARA,REG (C-LCL) 109_multi_1,622,10,22,Moderate SB
78,SAN JOSE,REG (C-LCL) 109_multi_1,630,10,30,Moderate SB
81,TAMIEN (HSR) $,REG (C-LCL) 109_multi_1,633,10,33,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 417_multi_1,568,9,28,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 417_multi_1,573,9,33,Moderate SB
5,22nd STREET,REG (C-EXP) 417_multi_1,578,9,38,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 417_multi_1,586,9,46,Moderate SB
24,MILLBRAE,REG (C-EXP) 417_multi_1,591,9,51,Moderate SB
35,HILLSDALE,REG (C-EXP) 417_multi_1,598,9,58,Moderate SB
43,REDWOOD CITY,REG (C-EXP) 417_multi_1,603,10,3,Moderate SB
51,PALO ALTO,REG (C-EXP) 417_multi_1,608,10,8,Moderate SB
60,MOUNTAIN VIEW,REG (C-EXP) 417_multi_1,614,10,14,Moderate SB
65,SUNNYVALE,REG (C-EXP) 417_multi_1,619,10,19,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-LCL) 209_multi_1,572,9,32,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-LCL) 209_multi_1,577,9,37,Moderate SB
5,22nd STREET,REG (C-LCL) 209_multi_1,581,9,41,Moderate SB
11,BAYSHORE,REG (C-LCL) 209_multi_1,585,9,45,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-LCL) 209_multi_1,589,9,49,Moderate SB
20,SAN BRUNO,REG (C-LCL) 209_multi_1,593,9,53,Moderate SB
24,MILLBRAE,REG (C-LCL) 209_multi_1,596,9,56,Moderate SB
29,BURLINGAME,REG (C-LCL) 209_multi_1,600,10,0,Moderate SB
33,HAYWARD PARK,REG (C-LCL) 209_multi_1,604,10,4,Moderate SB
35,HILLSDALE,REG (C-LCL) 209_multi_1,608,10,8,Moderate SB
38,BELMONT,REG (C-LCL) 209_multi_1,611,10,11,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 839_single_37,580,9,40,Moderate SB
24,MILLBRAE,HSR 839_single_37,601,10,1,Moderate SB
78,SAN JOSE,HSR 839_single_37,633,10,33,Moderate SB
126,GILROY (HSR) $,HSR 839_single_37,658,10,58,Moderate SB
78,SAN JOSE,REG (C-EXP) 417_multi_1,635,10,35,Moderate SB
81,TAMIEN (HSR) $,REG (C-EXP) 417_multi_1,639,10,39,Moderate SB
86,CAPITOL (HSR) $,REG (C-EXP) 417_multi_1,643,10,43,Moderate SB
91,BLOSSOM HILL (HSR) $,REG (C-EXP) 417_multi_1,646,10,46,Moderate SB
78,SAN JOSE,HSR nan_single_38,643,10,43,Moderate SB
126,GILROY (HSR) $,HSR nan_single_38,669,11,9,Moderate SB
43,REDWOOD CITY,REG (C-LCL) 17_multi_1,605,10,5,Moderate SB
49,MENLO PARK,REG (C-LCL) 17_multi_1,609,10,9,Moderate SB
51,PALO ALTO,REG (C-LCL) 17_multi_1,612,10,12,Moderate SB
53,CALIFORNIA AVENUE,REG (C-LCL) 17_multi_1,618,10,18,Moderate SB
57,SAN ANTONIO,REG (C-LCL) 17_multi_1,622,10,22,Moderate SB
60,MOUNTAIN VIEW,REG (C-LCL) 17_multi_1,626,10,26,Moderate SB
65,SUNNYVALE,REG (C-LCL) 17_multi_1,629,10,29,Moderate SB
68,LAWRENCE,REG (C-LCL) 17_multi_1,632,10,32,Moderate SB
74,SANTA CLARA,REG (C-LCL) 17_multi_1,637,10,37,Moderate SB
78,SAN JOSE,REG (C-LCL) 17_multi_1,645,10,45,Moderate SB
81,TAMIEN (HSR) $,REG (C-LCL) 17_multi_1,648,10,48,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 319_multi_1,583,9,43,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 319_multi_1,588,9,48,Moderate SB
5,22nd STREET,REG (C-EXP) 319_multi_1,593,9,53,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 319_multi_1,601,10,1,Moderate SB
24,MILLBRAE,REG (C-EXP) 319_multi_1,606,10,6,Moderate SB
35,HILLSDALE,REG (C-EXP) 319_multi_1,613,10,13,Moderate SB
43,REDWOOD CITY,REG (C-EXP) 319_multi_1,618,10,18,Moderate SB
51,PALO ALTO,REG (C-EXP) 319_multi_1,623,10,23,Moderate SB
60,MOUNTAIN VIEW,REG (C-EXP) 319_multi_1,629,10,29,Moderate SB
65,SUNNYVALE,REG (C-EXP) 319_multi_1,634,10,34,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-LCL) 19_multi_1,587,9,47,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-LCL) 19_multi_1,591,9,51,Moderate SB
5,22nd STREET,REG (C-LCL) 19_multi_1,596,9,56,Moderate SB
11,BAYSHORE,REG (C-LCL) 19_multi_1,600,10,0,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-LCL) 19_multi_1,605,10,5,Moderate SB
20,SAN BRUNO,REG (C-LCL) 19_multi_1,608,10,8,Moderate SB
27,BROADWAY,REG (C-LCL) 19_multi_1,613,10,13,Moderate SB
31,SAN MATEO,REG (C-LCL) 19_multi_1,616,10,16,Moderate SB
33,HAYWARD PARK,REG (C-LCL) 19_multi_1,619,10,19,Moderate SB
35,HILLSDALE,REG (C-LCL) 19_multi_1,623,10,23,Moderate SB
40,SAN CARLOS,REG (C-LCL) 19_multi_1,627,10,27,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 841_single_39,595,9,55,Moderate SB
2,TOWNSEND / 4TH AND KING $,HSR 841_single_39,601,10,1,Moderate SB
24,MILLBRAE,HSR 841_single_39,616,10,16,Moderate SB
78,SAN JOSE,HSR 841_single_39,648,10,48,Moderate SB
126,GILROY (HSR) $,HSR 841_single_39,673,11,13,Moderate SB
78,SAN JOSE,REG (C-EXP) 319_multi_1,650,10,50,Moderate SB
81,TAMIEN (HSR) $,REG (C-EXP) 319_multi_1,654,10,54,Moderate SB
86,CAPITOL (HSR) $,REG (C-EXP) 319_multi_1,658,10,58,Moderate SB
91,BLOSSOM HILL (HSR) $,REG (C-EXP) 319_multi_1,662,11,2,Moderate SB
110,MORGAN HILL (HSR) $,REG (C-EXP) 319_multi_1,671,11,11,Moderate SB
126,GILROY (HSR) $,REG (C-EXP) 319_multi_1,680,11,20,Moderate SB
43,REDWOOD CITY,REG (C-LCL) 209_multi_1,620,10,20,Moderate SB
49,MENLO PARK,REG (C-LCL) 209_multi_1,624,10,24,Moderate SB
51,PALO ALTO,REG (C-LCL) 209_multi_1,627,10,27,Moderate SB
53,CALIFORNIA AVENUE,REG (C-LCL) 209_multi_1,633,10,33,Moderate SB
57,SAN ANTONIO,REG (C-LCL) 209_multi_1,637,10,37,Moderate SB
60,MOUNTAIN VIEW,REG (C-LCL) 209_multi_1,640,10,40,Moderate SB
65,SUNNYVALE,REG (C-LCL) 209_multi_1,644,10,44,Moderate SB
68,LAWRENCE,REG (C-LCL) 209_multi_1,647,10,47,Moderate SB
74,SANTA CLARA,REG (C-LCL) 209_multi_1,651,10,51,Moderate SB
78,SAN JOSE,REG (C-LCL) 209_multi_1,660,11,0,Moderate SB
81,TAMIEN (HSR) $,REG (C-LCL) 209_multi_1,663,11,3,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 419_multi_1,598,9,58,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 419_multi_1,603,10,3,Moderate SB
5,22nd STREET,REG (C-EXP) 419_multi_1,608,10,8,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 419_multi_1,616,10,16,Moderate SB
24,MILLBRAE,REG (C-EXP) 419_multi_1,621,10,21,Moderate SB
35,HILLSDALE,REG (C-EXP) 419_multi_1,628,10,28,Moderate SB
43,REDWOOD CITY,REG (C-EXP) 419_multi_1,633,10,33,Moderate SB
51,PALO ALTO,REG (C-EXP) 419_multi_1,638,10,38,Moderate SB
60,MOUNTAIN VIEW,REG (C-EXP) 419_multi_1,644,10,44,Moderate SB
65,SUNNYVALE,REG (C-EXP) 419_multi_1,649,10,49,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-LCL) 111_multi_1,602,10,2,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-LCL) 111_multi_1,607,10,7,Moderate SB
5,22nd STREET,REG (C-LCL) 111_multi_1,611,10,11,Moderate SB
11,BAYSHORE,REG (C-LCL) 111_multi_1,615,10,15,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-LCL) 111_multi_1,620,10,20,Moderate SB
20,SAN BRUNO,REG (C-LCL) 111_multi_1,623,10,23,Moderate SB
24,MILLBRAE,REG (C-LCL) 111_multi_1,627,10,27,Moderate SB
29,BURLINGAME,REG (C-LCL) 111_multi_1,630,10,30,Moderate SB
33,HAYWARD PARK,REG (C-LCL) 111_multi_1,634,10,34,Moderate SB
35,HILLSDALE,REG (C-LCL) 111_multi_1,638,10,38,Moderate SB
38,BELMONT,REG (C-LCL) 111_multi_1,641,10,41,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 843_single_40,610,10,10,Moderate SB
24,MILLBRAE,HSR 843_single_40,631,10,31,Moderate SB
78,SAN JOSE,HSR 843_single_40,663,11,3,Moderate SB
126,GILROY (HSR) $,HSR 843_single_40,688,11,28,Moderate SB
78,SAN JOSE,REG (C-EXP) 419_multi_1,665,11,5,Moderate SB
81,TAMIEN (HSR) $,REG (C-EXP) 419_multi_1,669,11,9,Moderate SB
86,CAPITOL (HSR) $,REG (C-EXP) 419_multi_1,673,11,13,Moderate SB
91,BLOSSOM HILL (HSR) $,REG (C-EXP) 419_multi_1,676,11,16,Moderate SB
78,SAN JOSE,HSR nan_single_41,673,11,13,Moderate SB
126,GILROY (HSR) $,HSR nan_single_41,699,11,39,Moderate SB
43,REDWOOD CITY,REG (C-LCL) 19_multi_1,635,10,35,Moderate SB
49,MENLO PARK,REG (C-LCL) 19_multi_1,639,10,39,Moderate SB
51,PALO ALTO,REG (C-LCL) 19_multi_1,642,10,42,Moderate SB
53,CALIFORNIA AVENUE,REG (C-LCL) 19_multi_1,648,10,48,Moderate SB
57,SAN ANTONIO,REG (C-LCL) 19_multi_1,652,10,52,Moderate SB
60,MOUNTAIN VIEW,REG (C-LCL) 19_multi_1,656,10,56,Moderate SB
65,SUNNYVALE,REG (C-LCL) 19_multi_1,659,10,59,Moderate SB
68,LAWRENCE,REG (C-LCL) 19_multi_1,662,11,2,Moderate SB
74,SANTA CLARA,REG (C-LCL) 19_multi_1,667,11,7,Moderate SB
78,SAN JOSE,REG (C-LCL) 19_multi_1,675,11,15,Moderate SB
81,TAMIEN (HSR) $,REG (C-LCL) 19_multi_1,678,11,18,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 321_multi_1,613,10,13,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 321_multi_1,618,10,18,Moderate SB
5,22nd STREET,REG (C-EXP) 321_multi_1,623,10,23,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 321_multi_1,631,10,31,Moderate SB
24,MILLBRAE,REG (C-EXP) 321_multi_1,636,10,36,Moderate SB
35,HILLSDALE,REG (C-EXP) 321_multi_1,643,10,43,Moderate SB
43,REDWOOD CITY,REG (C-EXP) 321_multi_1,648,10,48,Moderate SB
51,PALO ALTO,REG (C-EXP) 321_multi_1,653,10,53,Moderate SB
60,MOUNTAIN VIEW,REG (C-EXP) 321_multi_1,659,10,59,Moderate SB
65,SUNNYVALE,REG (C-EXP) 321_multi_1,664,11,4,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-LCL) nan_multi_1,617,10,17,Moderate SB
2,TOWNSEND / 4TH AND KING $,REG (C-LCL) nan_multi_1,621,10,21,Moderate SB
5,22nd STREET,REG (C-LCL) nan_multi_1,626,10,26,Moderate SB
11,BAYSHORE,REG (C-LCL) nan_multi_1,630,10,30,Moderate SB
17,SOUTH SAN FRANCISCO ,REG (C-LCL) nan_multi_1,635,10,35,Moderate SB
20,SAN BRUNO,REG (C-LCL) nan_multi_1,638,10,38,Moderate SB
27,BROADWAY,REG (C-LCL) nan_multi_1,643,10,43,Moderate SB
31,SAN MATEO,REG (C-LCL) nan_multi_1,646,10,46,Moderate SB
33,HAYWARD PARK,REG (C-LCL) nan_multi_1,649,10,49,Moderate SB
35,HILLSDALE,REG (C-LCL) nan_multi_1,653,10,53,Moderate SB
40,SAN CARLOS,REG (C-LCL) nan_multi_1,657,10,57,Moderate SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 845_single_42,625,10,25,Moderate SB
2,TOWNSEND / 4TH AND KING $,HSR 845_single_42,631,10,31,Moderate SB
24,MILLBRAE,HSR 845_single_42,646,10,46,Moderate SB
78,SAN JOSE,HSR 845_single_42,678,11,18,Moderate SB
126,GILROY (HSR) $,HSR 845_single_42,703,11,43,Moderate SB
78,SAN JOSE,REG (C-EXP) 321_multi_1,680,11,20,Moderate SB
81,TAMIEN (HSR) $,REG (C-EXP) 321_multi_1,684,11,24,Moderate SB
86,CAPITOL (HSR) $,REG (C-EXP) 321_multi_1,688,11,28,Moderate SB
91,BLOSSOM HILL (HSR) $,REG (C-EXP) 321_multi_1,692,11,32,Moderate SB
