scenario,departure_station,arrival_station,departure_hour,count_journey_time,mean_journey_time,min_journey_time,max_journey_time,count_wait_time,mean_wait_time,min_wait_time,max_wait_time
Baseline NB,ATHERTON,BURLINGAME,10,2,16.0,16,16,60,17.5,0.0,59.0
Baseline NB,ATHERTON,BURLINGAME,11,1,16.0,16,16,60,29.5,0.0,59.0
Baseline NB,ATHERTON,BURLINGAME,12,1,16.0,16,16,60,29.5,0.0,59.0
Baseline NB,ATHERTON,BURLINGAME,13,1,16.0,16,16,60,29.5,0.0,59.0
Baseline NB,ATHERTON,BURLINGAME,14,1,16.0,16,16,60,29.5,0.0,59.0
Baseline NB,ATHERTON,BURLINGAME,15,1,16.0,16,16,60,26.5,0.0,53.0
Baseline NB,ATHERTON,BURLINGAME,16,2,16.0,16,16,60,14.5,0.0,29.0
Baseline NB,ATHERTON,BURLINGAME,17,2,16.0,16,16,60,14.5,0.0,29.0
Baseline NB,ATHERTON,BURLINGAME,18,2,16.0,16,16,60,14.5,0.0,29.0
Baseline NB,ATHERTON,BURLINGAME,19,2,16.0,16,16,60,14.5,0.0,29.0
Baseline NB,ATHERTON,BURLINGAME,20,2,16.0,16,16,60,17.5,0.0,59.0
Baseline NB,ATHERTON,BURLINGAME,21,1,16.0,16,16,60,29.5,0.0,59.0
Baseline NB,ATHERTON,BURLINGAME,22,1,16.0,16,16,60,29.5,0.0,59.0
Baseline NB,ATHERTON,BURLINGAME,23,1,16.0,16,16,54,26.5,0.0,53.0
Baseline NB,ATHERTON,HILLSDALE,5,1,10.0,10,10,60,26.5,0.0,53.0
Baseline NB,ATHERTON,HILLSDALE,6,2,10.0,10,10,60,14.5,0.0,29.0
Baseline NB,ATHERTON,HILLSDALE,7,2,10.0,10,10,60,14.5,0.0,29.0
Baseline NB,ATHERTON,HILLSDALE,8,2,10.0,10,10,60,14.5,0.0,29.0
Baseline NB,ATHERTON,HILLSDALE,9,2,10.0,10,10,60,14.5,0.0,29.0
Baseline NB,ATHERTON,HILLSDALE,10,2,10.0,10,10,60,17.5,0.0,59.0
Baseline NB,ATHERTON,HILLSDALE,11,1,10.0,10,10,60,29.5,0.0,59.0
Baseline NB,ATHERTON,HILLSDALE,12,1,10.0,10,10,60,29.5,0.0,59.0
Baseline NB,ATHERTON,HILLSDALE,13,1,10.0,10,10,60,29.5,0.0,59.0
Baseline NB,ATHERTON,HILLSDALE,14,1,10.0,10,10,60,29.5,0.0,59.0
Baseline NB,ATHERTON,HILLSDALE,15,1,10.0,10,10,60,26.5,0.0,53.0
Baseline NB,ATHERTON,HILLSDALE,16,2,10.0,10,10,60,14.5,0.0,29.0
Baseline NB,ATHERTON,HILLSDALE,17,2,10.0,10,10,60,14.5,0.0,29.0
Baseline NB,ATHERTON,HILLSDALE,18,2,10.0,10,10,60,14.5,0.0,29.0
Baseline NB,ATHERTON,HILLSDALE,19,2,10.0,10,10,60,14.5,0.0,29.0
Baseline NB,ATHERTON,HILLSDALE,20,2,10.0,10,10,60,17.5,0.0,59.0
Baseline NB,ATHERTON,HILLSDALE,21,1,10.0,10,10,60,29.5,0.0,59.0
Baseline NB,ATHERTON,HILLSDALE,22,1,10.0,10,10,60,29.5,0.0,59.0
Baseline NB,ATHERTON,HILLSDALE,23,1,10.0,10,10,54,26.5,0.0,53.0
Baseline NB,ATHERTON,MILLBRAE,5,1,20.0,20,20,60,26.5,0.0,53.0
