,scenario,departure_station,arrival_station,departure_hour,count_journey_time,mean_journey_time,min_journey_time,max_journey_time,count_wait_time,mean_wait_time,min_wait_time,max_wait_time
64,Existing,22nd Street Caltrain,California Ave Caltrain,6,2,47.0,46,48,60,22.5,0.0,59.0
65,Existing,22nd Street Caltrain,California Ave Caltrain,7,1,46.0,46,46,60,29.233333333333334,0.0,57.0
66,Existing,22nd Street Caltrain,California Ave Caltrain,8,1,48.0,48,48,60,22.166666666666668,0.0,49.0
67,Existing,22nd Street Caltrain,California Ave Caltrain,9,1,59.0,59,59,60,28.6,0.0,58.0
68,Existing,22nd Street Caltrain,California Ave Caltrain,10,1,60.0,60,60,60,29.5,0.0,59.0
69,Existing,22nd Street Caltrain,California Ave Caltrain,11,1,60.0,60,60,60,29.5,0.0,59.0
70,Existing,22nd Street Caltrain,California Ave Caltrain,12,1,60.0,60,60,60,29.5,0.0,59.0
71,Existing,22nd Street Caltrain,California Ave Caltrain,13,1,60.0,60,60,60,29.5,0.0,59.0
72,Existing,22nd Street Caltrain,California Ave Caltrain,14,1,60.0,60,60,60,29.5,0.0,59.0
73,Existing,22nd Street Caltrain,California Ave Caltrain,15,1,64.0,64,64,60,222.0,0.0,269.0
74,Existing,22nd Street Caltrain,California Ave Caltrain,19,1,61.0,61,61,60,29.5,0.0,59.0
75,Existing,22nd Street Caltrain,California Ave Caltrain,20,1,61.0,61,61,60,29.5,0.0,59.0
76,Existing,22nd Street Caltrain,California Ave Caltrain,21,1,61.0,61,61,60,29.5,0.0,59.0
77,Existing,22nd Street Caltrain,California Ave Caltrain,22,1,61.0,61,61,60,44.5,0.0,95.0
78,Existing,22nd Street Caltrain,California Ave Caltrain,24,1,61.0,61,61,11,5.0,0.0,10.0
79,Existing,22nd Street Caltrain,Capitol Caltrain,15,1,113.0,113,113,60,113.83333333333333,0.0,151.0
80,Existing,22nd Street Caltrain,Capitol Caltrain,17,1,102.0,102,102,37,18.0,0.0,36.0
81,Existing,22nd Street Caltrain,College Park Caltrain,6,1,75.0,75,75,60,87.23333333333333,0.0,492.0
82,Existing,22nd Street Caltrain,College Park Caltrain,15,1,91.0,91,91,5,2.0,0.0,4.0
