trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
159,16:13:00,16:13:00,70101,15,,0,0,44880.58226475340,1,,,,,1,1,,,,
159,16:17:00,16:17:00,70091,16,,0,0,47014.15599022170,1,,,,,1,1,,,,
159,16:20:00,16:20:00,70081,17,,0,0,49338.57284439790,1,,,,,1,1,,,,
159,16:25:00,16:25:00,70061,18,,0,0,53656.91744499950,1,,,,,1,1,,,,
159,16:30:00,16:30:00,70051,19,,0,0,57806.73455046970,1,,,,,1,1,,,,
159,16:34:00,16:34:00,70041,20,,0,0,60775.71105614570,1,,,,,1,1,,,,
159,16:40:00,16:40:00,70031,21,,0,0,67450.89542516040,1,,,,,1,1,,,,
159,16:46:00,16:46:00,70021,22,,0,0,72869.35910126920,1,,,,,1,1,,,,
159,16:53:00,16:53:00,70011,23,,0,0,75392.50490137010,1,,,,,1,1,,,,
103,4:55:00,4:55:00,70271,1,San Francisco,0,0,0,1,,,,,1,1,,,,
103,5:03:00,5:03:00,70261,2,San Francisco,0,0,2898.26431637197,1,,,,,1,1,,,,
103,5:08:00,5:08:00,70241,3,San Francisco,0,0,7023.78917774393,1,,,,,1,1,,,,
103,5:13:00,5:13:00,70231,4,San Francisco,0,0,12919.13639447630,1,,,,,1,1,,,,
103,5:18:00,5:18:00,70221,5,San Francisco,0,0,16106.23088461870,1,,,,,1,1,,,,
103,5:23:00,5:23:00,70211,6,San Francisco,0,0,20420.43255028200,1,,,,,1,1,,,,
103,5:27:00,5:27:00,70201,7,San Francisco,0,0,23528.61630353810,1,,,,,1,1,,,,
103,5:31:00,5:31:00,70191,8,San Francisco,0,0,27472.19879383510,1,,,,,1,1,,,,
103,5:36:00,5:36:00,70171,9,San Francisco,0,0,30020.14511328310,1,,,,,1,1,,,,
103,5:39:00,5:39:00,70161,10,San Francisco,0,0,32030.90489518000,1,,,,,1,1,,,,
103,5:44:00,5:44:00,70141,11,San Francisco,0,0,37632.50982533250,1,,,,,1,1,,,,
103,5:49:00,5:49:00,70131,12,San Francisco,0,0,41124.12539828430,1,,,,,1,1,,,,
103,5:52:00,5:52:00,70121,13,San Francisco,0,0,43109.64578268270,1,,,,,1,1,,,,
103,5:56:00,5:56:00,70111,14,San Francisco,0,0,45803.01812721960,1,,,,,1,1,,,,
103,5:59:00,5:59:00,70101,15,San Francisco,0,0,47792.59069187090,1,,,,,1,1,,,,
103,6:03:00,6:03:00,70091,16,San Francisco,0,0,49926.16441733920,1,,,,,1,1,,,,
103,6:06:00,6:06:00,70081,17,San Francisco,0,0,52250.58127151540,1,,,,,1,1,,,,
103,6:11:00,6:11:00,70061,18,San Francisco,0,0,56568.92587211700,1,,,,,1,1,,,,
103,6:16:00,6:16:00,70051,19,San Francisco,0,0,60718.74297758730,1,,,,,1,1,,,,
103,6:20:00,6:20:00,70041,20,San Francisco,0,0,63687.71948326320,1,,,,,1,1,,,,
103,6:26:00,6:26:00,70031,21,San Francisco,0,0,70362.90385227800,1,,,,,1,1,,,,
103,6:32:00,6:32:00,70021,22,San Francisco,0,0,75781.36752838670,1,,,,,1,1,,,,
103,6:38:00,6:38:00,70011,23,San Francisco,0,0,78304.51332850000,1,,,,,1,1,,,,
195,20:37:00,20:37:00,70271,1,San Francisco,0,0,0,1,,,,,1,1,,,,
195,20:45:00,20:45:00,70261,2,San Francisco,0,0,2898.26431637197,1,,,,,1,1,,,,
195,20:50:00,20:50:00,70241,3,San Francisco,0,0,7023.78917774393,1,,,,,1,1,,,,
195,20:55:00,20:55:00,70231,4,San Francisco,0,0,12919.13639447630,1,,,,,1,1,,,,
195,21:00:00,21:00:00,70221,5,San Francisco,0,0,16106.23088461870,1,,,,,1,1,,,,
195,21:05:00,21:05:00,70211,6,San Francisco,0,0,20420.43255028200,1,,,,,1,1,,,,
195,21:08:00,21:08:00,70201,7,San Francisco,0,0,23528.61630353810,1,,,,,1,1,,,,
195,21:13:00,21:13:00,70191,8,San Francisco,0,0,27472.19879383510,1,,,,,1,1,,,,
195,21:17:00,21:17:00,70171,9,San Francisco,0,0,30020.14511328310,1,,,,,1,1,,,,
195,21:20:00,21:20:00,70161,10,San Francisco,0,0,32030.90489518000,1,,,,,1,1,,,,
195,21:27:00,21:27:00,70141,11,San Francisco,0,0,37632.50982533250,1,,,,,1,1,,,,
195,21:31:00,21:31:00,70131,12,San Francisco,0,0,41124.12539828430,1,,,,,1,1,,,,
195,21:35:00,21:35:00,70121,13,San Francisco,0,0,43109.64578268270,1,,,,,1,1,,,,
195,21:38:00,21:38:00,70111,14,San Francisco,0,0,45803.01812721960,1,,,,,1,1,,,,
195,21:41:00,21:41:00,70101,15,San Francisco,0,0,47792.59069187090,1,,,,,1,1,,,,
195,21:44:00,21:44:00,70091,16,San Francisco,0,0,49926.16441733920,1,,,,,1,1,,,,
195,21:48:00,21:48:00,70081,17,San Francisco,0,0,52250.58127151540,1,,,,,1,1,,,,
195,21:52:00,21:52:00,70061,18,San Francisco,0,0,56568.92587211700,1,,,,,1,1,,,,
195,21:57:00,21:57:00,70051,19,San Francisco,0,0,60718.74297758730,1,,,,,1,1,,,,
195,22:01:00,22:01:00,70041,20,San Francisco,0,0,63687.71948326320,1,,,,,1,1,,,,
195,22:07:00,22:07:00,70031,21,San Francisco,0,0,70362.90385227800,1,,,,,1,1,,,,
195,22:13:00,22:13:00,70021,22,San Francisco,0,0,75781.36752838670,1,,,,,1,1,,,,
