TOD,Scenario,Station_Name,Ridership_Number,count_journey_time,per_train,lat,lon
am,Ridership_2017_observed,Bayshore,126,5,25.2,37.707716194010786,-122.40181692100869
am,Ridership_2017_observed,Belmont,3764,15,250.93333333333334,37.52120335901958,-122.27624353516848
am,Ridership_2017_observed,Burlingame,2347,15,156.46666666666667,37.579784239598354,-122.34406869702896
am,Ridership_2017_observed,California Ave,2169,17,127.58823529411765,37.428924920324114,-122.14130909428673
am,Ridership_2017_observed,College Park,868,17,51.05882352941177,37.34287482384451,-121.91566711874347
am,Ridership_2017_observed,Hayward Park,3014,15,200.93333333333334,37.5529445877276,-122.30942618742424
am,Ridership_2017_observed,Hillsdale,3728,15,248.53333333333333,37.54157217114981,-122.30068921820495
am,Ridership_2017_observed,Lawrence,1133,17,66.6470588235294,37.37054208586365,-121.99678611573393
am,Ridership_2017_observed,Menlo Park,3992,16,249.5,37.45481747441266,-122.18234505381756
am,Ridership_2017_observed,Millbrae,1935,15,129.0,37.60005813774365,-122.38716357110485
am,Ridership_2017_observed,Mountain View,1999,17,117.58823529411765,37.39445754646227,-122.07593286878692
am,Ridership_2017_observed,Palo Alto,3904,17,229.64705882352942,37.44319218110702,-122.16441235036379
am,Ridership_2017_observed,Redwood City,4248,16,265.5,37.48575969310709,-122.23136195740514
am,Ridership_2017_observed,San Antonio,1925,17,113.23529411764706,37.407509282199506,-122.10751724793137
am,Ridership_2017_observed,San Bruno,538,8,67.25,37.630742889729746,-122.41180196248293
am,Ridership_2017_observed,San Carlos,4152,15,276.8,37.50812619416385,-122.26029797578131
am,Ridership_2017_observed,San Jose Diridon,760,17,44.705882352941174,37.32973433784033,-121.90337965869688
am,Ridership_2017_observed,San Mateo,2930,15,195.33333333333334,37.5681603459612,-122.32391967532075
am,Ridership_2017_observed,Santa Clara,1056,17,62.11764705882353,37.353207282614996,-121.93549376712492
am,Ridership_2017_observed,South San Francisco,243,5,48.6,37.65434311314393,-122.40632367452082
am,Ridership_2017_observed,Sunnyvale,1259,17,74.05882352941177,37.37884425148521,-122.03140710781794
am,Ridership_2017_observed,Tamien,144,5,28.8,37.31274326682811,-121.88475697613043
am,Ridership_2040_HSR2,22nd St,12068,45,268.1777777777778,37.757576360740146,-122.39241209707016
am,Ridership_2040_HSR2,4th and King,9677,45,215.04444444444445,37.77673761681249,-122.39494716886722
am,Ridership_2040_HSR2,Atherton,14771,45,328.24444444444447,37.46447556254199,-122.19767440578178
am,Ridership_2040_HSR2,Bayshore,13170,45,292.6666666666667,37.707716194010786,-122.40181692100869
am,Ridership_2040_HSR2,Belmont,15699,45,348.8666666666667,37.52120335901958,-122.27624353516848
am,Ridership_2040_HSR2,Blossom Hill,0,33,0.0,37.252451211010396,-121.79772696072882
am,Ridership_2040_HSR2,Broadway,14368,45,319.2888888888889,37.58728824070041,-122.36206316363042
am,Ridership_2040_HSR2,Burlingame,14517,45,322.6,37.579784239598354,-122.34406869702896
am,Ridership_2040_HSR2,California Ave,9198,45,204.4,37.428924920324114,-122.14130909428673
am,Ridership_2040_HSR2,Capitol,0,33,0.0,37.28400149341915,-121.84184124217718
am,Ridership_2040_HSR2,Gilroy,0,33,0.0,37.004510163602646,-121.56675298501878
am,Ridership_2040_HSR2,Hayward Park,15250,45,338.8888888888889,37.5529445877276,-122.30942618742424
am,Ridership_2040_HSR2,Hillsdale,16793,45,373.1777777777778,37.54157217114981,-122.30068921820495
am,Ridership_2040_HSR2,Lawrence,4315,45,95.88888888888889,37.37054208586365,-121.99678611573393
am,Ridership_2040_HSR2,Menlo Park,14873,45,330.5111111111111,37.45481747441266,-122.18234505381756
am,Ridership_2040_HSR2,Millbrae,15043,45,334.2888888888889,37.60005813774365,-122.38716357110485
am,Ridership_2040_HSR2,Morgan Hill,0,33,0.0,37.12973319634205,-121.650645664784
am,Ridership_2040_HSR2,Mountain View,8074,45,179.42222222222222,37.39445754646227,-122.07593286878692
am,Ridership_2040_HSR2,Palo Alto,14489,45,321.97777777777776,37.44319218110702,-122.16441235036379
am,Ridership_2040_HSR2,Redwood City,16541,45,367.5777777777778,37.48575969310709,-122.23136195740514
am,Ridership_2040_HSR2,San Antonio,8153,45,181.17777777777778,37.407509282199506,-122.10751724793137
am,Ridership_2040_HSR2,San Bruno,13074,45,290.53333333333336,37.630742889729746,-122.41180196248293
am,Ridership_2040_HSR2,San Carlos,15704,45,348.97777777777776,37.50812619416385,-122.26029797578131
am,Ridership_2040_HSR2,San Jose Diridon,2784,45,61.86666666666667,37.32973433784033,-121.90337965869688
am,Ridership_2040_HSR2,San Mateo,15535,45,345.22222222222223,37.5681603459612,-122.32391967532075
am,Ridership_2040_HSR2,Santa Clara,3269,45,72.64444444444445,37.353207282614996,-121.93549376712492
am,Ridership_2040_HSR2,South San Francisco,13390,45,297.55555555555554,37.65434311314393,-122.40632367452082
am,Ridership_2040_HSR2,Sunnyvale,5114,45,113.64444444444445,37.37884425148521,-122.03140710781794
am,Ridership_2040_HSR2,Tamien,591,33,17.90909090909091,37.31274326682811,-121.88475697613043
am,Ridership_2040_HSR2,Transbay,4187,45,93.04444444444445,37.789051867125714,-122.39702424974188
am,Ridership_2040_high,22nd St,12105,58,208.70689655172413,37.757576360740146,-122.39241209707016
am,Ridership_2040_high,4th and King,9453,58,162.98275862068965,37.77673761681249,-122.39494716886722
am,Ridership_2040_high,Atherton,13768,57,241.5438596491228,37.46447556254199,-122.19767440578178
am,Ridership_2040_high,Bayshore,12262,58,211.41379310344828,37.707716194010786,-122.40181692100869
