departure_hour,Scenario,Station_Name,Ridership_Number,count_journey_time,Hourly_Ridership_uniform,per_train_uniform,Hourly_Ridership_smoothed,per_train_smoothed,lat,lon
5,Ridership_2040_HSR2,Belmont,312,5,156.0,31.2,156.0,31.2,37.52120335901958,-122.27624353516848
5,Ridership_2040_HSR2,Blossom Hill,0,6,0.0,0.0,0.0,0.0,37.252451211010396,-121.79772696072882
5,Ridership_2040_HSR2,Broadway,291,5,145.5,29.1,145.5,29.1,37.58728824070041,-122.36206316363042
5,Ridership_2040_HSR2,Burlingame,298,5,149.0,29.8,149.0,29.8,37.579784239598354,-122.34406869702896
5,Ridership_2040_HSR2,California Ave,253,5,126.5,25.3,126.5,25.3,37.428924920324114,-122.14130909428673
5,Ridership_2040_HSR2,Capitol,0,6,0.0,0.0,0.0,0.0,37.28400149341915,-121.84184124217718
5,Ridership_2040_HSR2,Gilroy,0,6,0.0,0.0,0.0,0.0,37.004510163602646,-121.56675298501878
5,Ridership_2040_HSR2,Hayward Park,303,5,151.5,30.3,151.5,30.3,37.5529445877276,-122.30942618742424
5,Ridership_2040_HSR2,Hillsdale,310,5,155.0,31.0,155.0,31.0,37.54157217114981,-122.30068921820495
5,Ridership_2040_HSR2,Lawrence,144,5,72.0,14.4,72.0,14.4,37.37054208586365,-121.99678611573393
5,Ridership_2040_HSR2,Menlo Park,261,5,130.5,26.1,130.5,26.1,37.45481747441266,-122.18234505381756
5,Ridership_2040_HSR2,Millbrae,287,5,143.5,28.7,143.5,28.7,37.60005813774365,-122.38716357110485
5,Ridership_2040_HSR2,Morgan Hill,0,6,0.0,0.0,0.0,0.0,37.12973319634205,-121.650645664784
5,Ridership_2040_HSR2,Mountain View,227,5,113.5,22.7,113.5,22.7,37.39445754646227,-122.07593286878692
5,Ridership_2040_HSR2,Palo Alto,279,5,139.5,27.9,139.5,27.9,37.44319218110702,-122.16441235036379
5,Ridership_2040_HSR2,Redwood City,324,5,162.0,32.4,162.0,32.4,37.48575969310709,-122.23136195740514
5,Ridership_2040_HSR2,San Antonio,234,5,117.0,23.4,117.0,23.4,37.407509282199506,-122.10751724793137
5,Ridership_2040_HSR2,San Bruno,258,5,129.0,25.8,129.0,25.8,37.630742889729746,-122.41180196248293
5,Ridership_2040_HSR2,San Carlos,316,5,158.0,31.6,158.0,31.6,37.50812619416385,-122.26029797578131
5,Ridership_2040_HSR2,San Jose Diridon,81,6,40.5,6.75,40.5,6.75,37.32973433784033,-121.90337965869688
5,Ridership_2040_HSR2,San Mateo,299,5,149.5,29.9,149.5,29.9,37.5681603459612,-122.32391967532075
5,Ridership_2040_HSR2,Santa Clara,102,5,51.0,10.2,51.0,10.2,37.353207282614996,-121.93549376712492
5,Ridership_2040_HSR2,South San Francisco,254,5,127.0,25.4,127.0,25.4,37.65434311314393,-122.40632367452082
5,Ridership_2040_HSR2,Sunnyvale,191,5,95.5,19.1,95.5,19.1,37.37884425148521,-122.03140710781794
5,Ridership_2040_HSR2,Tamien,12,6,6.0,1.0,6.0,1.0,37.31274326682811,-121.88475697613043
5,Ridership_2040_HSR2,Transbay,103,5,51.5,10.3,51.5,10.3,37.789051867125714,-122.39702424974188
5,Ridership_2040_high,22nd St,415,7,207.5,29.642857142857142,207.5,29.642857142857142,37.757576360740146,-122.39241209707016
5,Ridership_2040_high,4th and King,375,4,187.5,46.875,187.5,46.875,37.77673761681249,-122.39494716886722
5,Ridership_2040_high,Atherton,338,10,169.0,16.9,169.0,16.9,37.46447556254199,-122.19767440578178
5,Ridership_2040_high,Bayshore,432,7,216.0,30.857142857142858,216.0,30.857142857142858,37.707716194010786,-122.40181692100869
5,Ridership_2040_high,Belmont,433,7,216.5,30.928571428571427,216.5,30.928571428571427,37.52120335901958,-122.27624353516848
5,Ridership_2040_high,Blossom Hill,17,5,8.5,1.7,8.5,1.7,37.252451211010396,-121.79772696072882
5,Ridership_2040_high,Burlingame,519,7,259.5,37.07142857142857,259.5,37.07142857142857,37.579784239598354,-122.34406869702896
5,Ridership_2040_high,California Ave,329,10,164.5,16.45,164.5,16.45,37.428924920324114,-122.14130909428673
5,Ridership_2040_high,Capitol,24,5,12.0,2.4,12.0,2.4,37.28400149341915,-121.84184124217718
5,Ridership_2040_high,Gilroy,3,5,1.5,0.3,1.5,0.3,37.004510163602646,-121.56675298501878
5,Ridership_2040_high,Hayward Park,512,7,256.0,36.57142857142857,256.0,36.57142857142857,37.5529445877276,-122.30942618742424
5,Ridership_2040_high,Hillsdale,493,7,246.5,35.214285714285715,246.5,35.214285714285715,37.54157217114981,-122.30068921820495
5,Ridership_2040_high,Lawrence,208,10,104.0,10.4,104.0,10.4,37.37054208586365,-121.99678611573393
5,Ridership_2040_high,Menlo Park,328,10,164.0,16.4,164.0,16.4,37.45481747441266,-122.18234505381756
5,Ridership_2040_high,Millbrae,503,7,251.5,35.92857142857143,251.5,35.92857142857143,37.60005813774365,-122.38716357110485
5,Ridership_2040_high,Morgan Hill,6,5,3.0,0.6,3.0,0.6,37.12973319634205,-121.650645664784
5,Ridership_2040_high,Mountain View,293,10,146.5,14.65,146.5,14.65,37.39445754646227,-122.07593286878692
5,Ridership_2040_high,Palo Alto,365,10,182.5,18.25,182.5,18.25,37.44319218110702,-122.16441235036379
5,Ridership_2040_high,Redwood City,399,10,199.5,19.95,199.5,19.95,37.48575969310709,-122.23136195740514
5,Ridership_2040_high,San Antonio,307,10,153.5,15.35,153.5,15.35,37.407509282199506,-122.10751724793137
5,Ridership_2040_high,San Bruno,459,7,229.5,32.785714285714285,229.5,32.785714285714285,37.630742889729746,-122.41180196248293
5,Ridership_2040_high,San Carlos,412,8,206.0,25.75,206.0,25.75,37.50812619416385,-122.26029797578131
5,Ridership_2040_high,San Jose Diridon,146,11,73.0,6.636363636363637,73.0,6.636363636363637,37.32973433784033,-121.90337965869688
5,Ridership_2040_high,San Mateo,531,7,265.5,37.92857142857143,265.5,37.92857142857143,37.5681603459612,-122.32391967532075
5,Ridership_2040_high,Santa Clara,166,10,83.0,8.3,83.0,8.3,37.353207282614996,-121.93549376712492
5,Ridership_2040_high,South San Francisco,447,7,223.5,31.928571428571427,223.5,31.928571428571427,37.65434311314393,-122.40632367452082
5,Ridership_2040_high,Sunnyvale,259,10,129.5,12.95,129.5,12.95,37.37884425148521,-122.03140710781794
5,Ridership_2040_high,Tamien,57,11,28.5,2.590909090909091,28.5,2.590909090909091,37.31274326682811,-121.88475697613043
5,Ridership_2040_high,Transbay,195,4,97.5,24.375,97.5,24.375,37.789051867125714,-122.39702424974188
5,Ridership_2040_moderate,22nd St,278,5,139.0,27.8,139.0,27.8,37.757576360740146,-122.39241209707016
5,Ridership_2040_moderate,4th and King,264,5,132.0,26.4,132.0,26.4,37.77673761681249,-122.39494716886722
5,Ridership_2040_moderate,Atherton,319,5,159.5,31.9,159.5,31.9,37.46447556254199,-122.19767440578178
5,Ridership_2040_moderate,Bayshore,288,5,144.0,28.8,144.0,28.8,37.707716194010786,-122.40181692100869
5,Ridership_2040_moderate,Blossom Hill,10,6,5.0,0.8333333333333334,5.0,0.8333333333333334,37.252451211010396,-121.79772696072882
5,Ridership_2040_moderate,Broadway,326,5,163.0,32.6,163.0,32.6,37.58728824070041,-122.36206316363042
5,Ridership_2040_moderate,Burlingame,332,5,166.0,33.2,166.0,33.2,37.579784239598354,-122.34406869702896
5,Ridership_2040_moderate,California Ave,314,6,157.0,26.166666666666668,157.0,26.166666666666668,37.428924920324114,-122.14130909428673
5,Ridership_2040_moderate,Capitol,14,6,7.0,1.1666666666666667,7.0,1.1666666666666667,37.28400149341915,-121.84184124217718
5,Ridership_2040_moderate,Gilroy,2,6,1.0,0.16666666666666666,1.0,0.16666666666666666,37.004510163602646,-121.56675298501878
5,Ridership_2040_moderate,Hayward Park,339,5,169.5,33.9,169.5,33.9,37.5529445877276,-122.30942618742424
5,Ridership_2040_moderate,Hillsdale,350,5,175.0,35.0,175.0,35.0,37.54157217114981,-122.30068921820495
5,Ridership_2040_moderate,Lawrence,198,6,99.0,16.5,99.0,16.5,37.37054208586365,-121.99678611573393
5,Ridership_2040_moderate,Menlo Park,327,5,163.5,32.7,163.5,32.7,37.45481747441266,-122.18234505381756
5,Ridership_2040_moderate,Millbrae,319,5,159.5,31.9,159.5,31.9,37.60005813774365,-122.38716357110485
5,Ridership_2040_moderate,Morgan Hill,4,6,2.0,0.3333333333333333,2.0,0.3333333333333333,37.12973319634205,-121.650645664784
5,Ridership_2040_moderate,Mountain View,285,6,142.5,23.75,142.5,23.75,37.39445754646227,-122.07593286878692
5,Ridership_2040_moderate,Palo Alto,348,6,174.0,29.0,174.0,29.0,37.44319218110702,-122.16441235036379
5,Ridership_2040_moderate,Redwood City,372,5,186.0,37.2,186.0,37.2,37.48575969310709,-122.23136195740514
5,Ridership_2040_moderate,San Antonio,298,6,149.0,24.833333333333332,149.0,24.833333333333332,37.407509282199506,-122.10751724793137
5,Ridership_2040_moderate,San Bruno,301,5,150.5,30.1,150.5,30.1,37.630742889729746,-122.41180196248293
5,Ridership_2040_moderate,San Jose Diridon,132,7,66.0,9.428571428571429,66.0,9.428571428571429,37.32973433784033,-121.90337965869688
5,Ridership_2040_moderate,San Mateo,332,5,166.0,33.2,166.0,33.2,37.5681603459612,-122.32391967532075
5,Ridership_2040_moderate,Santa Clara,154,6,77.0,12.833333333333334,77.0,12.833333333333334,37.353207282614996,-121.93549376712492
5,Ridership_2040_moderate,South San Francisco,297,5,148.5,29.7,148.5,29.7,37.65434311314393,-122.40632367452082
5,Ridership_2040_moderate,Sunnyvale,250,6,125.0,20.833333333333332,125.0,20.833333333333332,37.37884425148521,-122.03140710781794
5,Ridership_2040_moderate,Tamien,46,7,23.0,3.2857142857142856,23.0,3.2857142857142856,37.31274326682811,-121.88475697613043
5,Ridership_2040_moderate,Transbay,135,5,67.5,13.5,67.5,13.5,37.789051867125714,-122.39702424974188
6,Ridership_2017_observed,Bayshore,3,1,0.6000000000000001,0.6000000000000001,0.30000000000000004,0.30000000000000004,37.707716194010786,-122.40181692100869
6,Ridership_2017_observed,Belmont,2042,4,408.40000000000003,102.10000000000001,204.20000000000002,51.050000000000004,37.52120335901958,-122.27624353516848
6,Ridership_2017_observed,Blossom Hill,440,2,88.0,44.0,44.0,22.0,37.252451211010396,-121.79772696072882
6,Ridership_2017_observed,Burlingame,1477,4,295.40000000000003,73.85000000000001,147.70000000000002,36.925000000000004,37.579784239598354,-122.34406869702896
6,Ridership_2017_observed,California Ave,4430,4,886.0,221.5,443.0,110.75,37.428924920324114,-122.14130909428673
6,Ridership_2017_observed,Capitol,471,2,94.2,47.1,47.1,23.55,37.28400149341915,-121.84184124217718
6,Ridership_2017_observed,College Park,2833,4,566.6,141.65,283.3,70.825,37.34287482384451,-121.91566711874347
6,Ridership_2017_observed,Gilroy,145,2,29.0,14.5,14.5,7.25,37.004510163602646,-121.56675298501878
6,Ridership_2017_observed,Hayward Park,1691,4,338.20000000000005,84.55000000000001,169.10000000000002,42.275000000000006,37.5529445877276,-122.30942618742424
6,Ridership_2017_observed,Hillsdale,2041,4,408.20000000000005,102.05000000000001,204.10000000000002,51.025000000000006,37.54157217114981,-122.30068921820495
6,Ridership_2017_observed,Lawrence,3350,4,670.0,167.5,335.0,83.75,37.37054208586365,-121.99678611573393
6,Ridership_2017_observed,Menlo Park,2645,4,529.0,132.25,264.5,66.125,37.45481747441266,-122.18234505381756
6,Ridership_2017_observed,Millbrae,1408,4,281.6,70.4,140.8,35.2,37.60005813774365,-122.38716357110485
6,Ridership_2017_observed,Morgan Hill,358,2,71.60000000000001,35.800000000000004,35.800000000000004,17.900000000000002,37.12973319634205,-121.650645664784
6,Ridership_2017_observed,Mountain View,4561,4,912.2,228.05,456.1,114.025,37.39445754646227,-122.07593286878692
6,Ridership_2017_observed,Palo Alto,4252,4,850.4000000000001,212.60000000000002,425.20000000000005,106.30000000000001,37.44319218110702,-122.16441235036379
6,Ridership_2017_observed,Redwood City,2930,4,586.0,146.5,293.0,73.25,37.48575969310709,-122.23136195740514
6,Ridership_2017_observed,San Antonio,4423,4,884.6,221.15,442.3,110.575,37.407509282199506,-122.10751724793137
6,Ridership_2017_observed,San Bruno,335,2,67.0,33.5,33.5,16.75,37.630742889729746,-122.41180196248293
6,Ridership_2017_observed,San Carlos,2188,4,437.6,109.4,218.8,54.7,37.50812619416385,-122.26029797578131
6,Ridership_2017_observed,San Jose Diridon,2834,4,566.8000000000001,141.70000000000002,283.40000000000003,70.85000000000001,37.32973433784033,-121.90337965869688
6,Ridership_2017_observed,San Martin,214,2,42.800000000000004,21.400000000000002,21.400000000000002,10.700000000000001,37.08595316953493,-121.61044251655308
6,Ridership_2017_observed,San Mateo,1756,4,351.20000000000005,87.80000000000001,175.60000000000002,43.900000000000006,37.5681603459612,-122.32391967532075
6,Ridership_2017_observed,Santa Clara,3166,4,633.2,158.3,316.6,79.15,37.353207282614996,-121.93549376712492
6,Ridership_2017_observed,South San Francisco,214,2,42.800000000000004,21.400000000000002,21.400000000000002,10.700000000000001,37.65434311314393,-122.40632367452082
6,Ridership_2017_observed,Sunnyvale,4176,4,835.2,208.8,417.6,104.4,37.37884425148521,-122.03140710781794
6,Ridership_2017_observed,Tamien,1194,2,238.8,119.4,119.4,59.7,37.31274326682811,-121.88475697613043
6,Ridership_2040_HSR2,22nd St,25387,8,5077.400000000001,634.6750000000001,2538.7000000000003,317.33750000000003,37.757576360740146,-122.39241209707016
6,Ridership_2040_HSR2,4th and King,24722,8,4944.400000000001,618.0500000000001,2472.2000000000003,309.02500000000003,37.77673761681249,-122.39494716886722
6,Ridership_2040_HSR2,Atherton,21235,8,4247.0,530.875,2123.5,265.4375,37.46447556254199,-122.19767440578178
6,Ridership_2040_HSR2,Bayshore,26029,8,5205.8,650.725,2602.9,325.3625,37.707716194010786,-122.40181692100869
6,Ridership_2040_HSR2,Belmont,23270,8,4654.0,581.75,2327.0,290.875,37.52120335901958,-122.27624353516848
6,Ridership_2040_HSR2,Blossom Hill,1032,9,206.4,22.933333333333334,103.2,11.466666666666667,37.252451211010396,-121.79772696072882
6,Ridership_2040_HSR2,Broadway,25915,8,5183.0,647.875,2591.5,323.9375,37.58728824070041,-122.36206316363042
6,Ridership_2040_HSR2,Burlingame,25882,8,5176.400000000001,647.0500000000001,2588.2000000000003,323.52500000000003,37.579784239598354,-122.34406869702896
6,Ridership_2040_HSR2,California Ave,21827,8,4365.400000000001,545.6750000000001,2182.7000000000003,272.83750000000003,37.428924920324114,-122.14130909428673
6,Ridership_2040_HSR2,Capitol,1308,9,261.6,29.06666666666667,130.8,14.533333333333335,37.28400149341915,-121.84184124217718
6,Ridership_2040_HSR2,Gilroy,238,9,47.6,5.288888888888889,23.8,2.6444444444444444,37.004510163602646,-121.56675298501878
6,Ridership_2040_HSR2,Hayward Park,25001,8,5000.200000000001,625.0250000000001,2500.1000000000004,312.51250000000005,37.5529445877276,-122.30942618742424
6,Ridership_2040_HSR2,Hillsdale,25673,8,5134.6,641.825,2567.3,320.9125,37.54157217114981,-122.30068921820495
6,Ridership_2040_HSR2,Lawrence,13517,8,2703.4,337.925,1351.7,168.9625,37.37054208586365,-121.99678611573393
6,Ridership_2040_HSR2,Menlo Park,21201,8,4240.2,530.025,2120.1,265.0125,37.45481747441266,-122.18234505381756
6,Ridership_2040_HSR2,Millbrae,27652,8,5530.400000000001,691.3000000000001,2765.2000000000003,345.65000000000003,37.60005813774365,-122.38716357110485
6,Ridership_2040_HSR2,Morgan Hill,601,9,120.2,13.355555555555556,60.1,6.677777777777778,37.12973319634205,-121.650645664784
6,Ridership_2040_HSR2,Mountain View,21515,8,4303.0,537.875,2151.5,268.9375,37.39445754646227,-122.07593286878692
6,Ridership_2040_HSR2,Palo Alto,23823,8,4764.6,595.575,2382.3,297.7875,37.44319218110702,-122.16441235036379
6,Ridership_2040_HSR2,Redwood City,23624,8,4724.8,590.6,2362.4,295.3,37.48575969310709,-122.23136195740514
6,Ridership_2040_HSR2,San Antonio,20728,8,4145.6,518.2,2072.8,259.1,37.407509282199506,-122.10751724793137
6,Ridership_2040_HSR2,San Bruno,25995,8,5199.0,649.875,2599.5,324.9375,37.630742889729746,-122.41180196248293
6,Ridership_2040_HSR2,San Carlos,23388,8,4677.6,584.7,2338.8,292.35,37.50812619416385,-122.26029797578131
6,Ridership_2040_HSR2,San Jose Diridon,9766,9,1953.2,217.02222222222224,976.6,108.51111111111112,37.32973433784033,-121.90337965869688
6,Ridership_2040_HSR2,San Mateo,25931,8,5186.200000000001,648.2750000000001,2593.1000000000004,324.13750000000005,37.5681603459612,-122.32391967532075
6,Ridership_2040_HSR2,Santa Clara,11110,8,2222.0,277.75,1111.0,138.875,37.353207282614996,-121.93549376712492
6,Ridership_2040_HSR2,South San Francisco,26200,8,5240.0,655.0,2620.0,327.5,37.65434311314393,-122.40632367452082
6,Ridership_2040_HSR2,Sunnyvale,17931,8,3586.2000000000003,448.27500000000003,1793.1000000000001,224.13750000000002,37.37884425148521,-122.03140710781794
6,Ridership_2040_HSR2,Tamien,3225,9,645.0,71.66666666666667,322.5,35.833333333333336,37.31274326682811,-121.88475697613043
6,Ridership_2040_HSR2,Transbay,14217,8,2843.4,355.425,1421.7,177.7125,37.789051867125714,-122.39702424974188
6,Ridership_2040_high,22nd St,20006,12,4001.2000000000003,333.43333333333334,2000.6000000000001,166.71666666666667,37.757576360740146,-122.39241209707016
6,Ridership_2040_high,4th and King,18649,10,3729.8,372.98,1864.9,186.49,37.77673761681249,-122.39494716886722
6,Ridership_2040_high,Atherton,14963,12,2992.6000000000004,249.38333333333335,1496.3000000000002,124.69166666666668,37.46447556254199,-122.19767440578178
6,Ridership_2040_high,Bayshore,19434,12,3886.8,323.90000000000003,1943.4,161.95000000000002,37.707716194010786,-122.40181692100869
6,Ridership_2040_high,Belmont,16090,8,3218.0,402.25,1609.0,201.125,37.52120335901958,-122.27624353516848
6,Ridership_2040_high,Blossom Hill,173,9,34.6,3.8444444444444446,17.3,1.9222222222222223,37.252451211010396,-121.79772696072882
6,Ridership_2040_high,Broadway,19069,12,3813.8,317.81666666666666,1906.9,158.90833333333333,37.58728824070041,-122.36206316363042
6,Ridership_2040_high,Burlingame,18829,12,3765.8,313.81666666666666,1882.9,156.90833333333333,37.579784239598354,-122.34406869702896
6,Ridership_2040_high,California Ave,16067,12,3213.4,267.78333333333336,1606.7,133.89166666666668,37.428924920324114,-122.14130909428673
6,Ridership_2040_high,Capitol,167,9,33.4,3.711111111111111,16.7,1.8555555555555554,37.28400149341915,-121.84184124217718
6,Ridership_2040_high,Gilroy,109,9,21.8,2.4222222222222225,10.9,1.2111111111111112,37.004510163602646,-121.56675298501878
6,Ridership_2040_high,Hayward Park,18115,12,3623.0,301.9166666666667,1811.5,150.95833333333334,37.5529445877276,-122.30942618742424
6,Ridership_2040_high,Hillsdale,18872,12,3774.4,314.53333333333336,1887.2,157.26666666666668,37.54157217114981,-122.30068921820495
6,Ridership_2040_high,Lawrence,9222,8,1844.4,230.55,922.2,115.275,37.37054208586365,-121.99678611573393
6,Ridership_2040_high,Menlo Park,15632,12,3126.4,260.53333333333336,1563.2,130.26666666666668,37.45481747441266,-122.18234505381756
6,Ridership_2040_high,Millbrae,20692,12,4138.400000000001,344.86666666666673,2069.2000000000003,172.43333333333337,37.60005813774365,-122.38716357110485
6,Ridership_2040_high,Morgan Hill,119,9,23.8,2.6444444444444444,11.9,1.3222222222222222,37.12973319634205,-121.650645664784
6,Ridership_2040_high,Mountain View,18333,12,3666.6000000000004,305.55,1833.3000000000002,152.775,37.39445754646227,-122.07593286878692
6,Ridership_2040_high,Palo Alto,18228,12,3645.6000000000004,303.8,1822.8000000000002,151.9,37.44319218110702,-122.16441235036379
6,Ridership_2040_high,Redwood City,17828,12,3565.6000000000004,297.1333333333334,1782.8000000000002,148.5666666666667,37.48575969310709,-122.23136195740514
6,Ridership_2040_high,San Antonio,16066,12,3213.2000000000003,267.7666666666667,1606.6000000000001,133.88333333333335,37.407509282199506,-122.10751724793137
6,Ridership_2040_high,San Bruno,19052,12,3810.4,317.53333333333336,1905.2,158.76666666666668,37.630742889729746,-122.41180196248293
6,Ridership_2040_high,San Carlos,16964,8,3392.8,424.1,1696.4,212.05,37.50812619416385,-122.26029797578131
6,Ridership_2040_high,San Jose Diridon,8205,12,1641.0,136.75,820.5,68.375,37.32973433784033,-121.90337965869688
6,Ridership_2040_high,San Mateo,19055,12,3811.0,317.5833333333333,1905.5,158.79166666666666,37.5681603459612,-122.32391967532075
6,Ridership_2040_high,Santa Clara,8360,8,1672.0,209.0,836.0,104.5,37.353207282614996,-121.93549376712492
6,Ridership_2040_high,South San Francisco,19993,12,3998.6000000000004,333.2166666666667,1999.3000000000002,166.60833333333335,37.65434311314393,-122.40632367452082
6,Ridership_2040_high,Sunnyvale,14531,12,2906.2000000000003,242.18333333333337,1453.1000000000001,121.09166666666668,37.37884425148521,-122.03140710781794
6,Ridership_2040_high,Tamien,1561,12,312.20000000000005,26.01666666666667,156.10000000000002,13.008333333333335,37.31274326682811,-121.88475697613043
6,Ridership_2040_high,Transbay,9240,10,1848.0,184.8,924.0,92.4,37.789051867125714,-122.39702424974188
6,Ridership_2040_moderate,22nd St,20381,8,4076.2000000000003,509.52500000000003,2038.1000000000001,254.76250000000002,37.757576360740146,-122.39241209707016
6,Ridership_2040_moderate,4th and King,20223,8,4044.6000000000004,505.57500000000005,2022.3000000000002,252.78750000000002,37.77673761681249,-122.39494716886722
6,Ridership_2040_moderate,Atherton,12955,5,2591.0,518.2,1295.5,259.1,37.46447556254199,-122.19767440578178
6,Ridership_2040_moderate,Bayshore,19922,8,3984.4,498.05,1992.2,249.025,37.707716194010786,-122.40181692100869
6,Ridership_2040_moderate,Belmont,15643,8,3128.6000000000004,391.07500000000005,1564.3000000000002,195.53750000000002,37.52120335901958,-122.27624353516848
6,Ridership_2040_moderate,Blossom Hill,122,9,24.400000000000002,2.7111111111111112,12.200000000000001,1.3555555555555556,37.252451211010396,-121.79772696072882
6,Ridership_2040_moderate,Broadway,18795,8,3759.0,469.875,1879.5,234.9375,37.58728824070041,-122.36206316363042
