TOD,Scenario,Station_Name,Ridership_Number,count_journey_time,per_train,lat,lon
am,Ridership_2040_high,Broadway,20924,59,354.64406779661016,37.58728824070041,-122.36206316363042
am,Ridership_2040_high,Burlingame,20684,59,350.5762711864407,37.579784239598354,-122.34406869702896
am,Ridership_2040_high,California Ave,18826,57,330.280701754386,37.428924920324114,-122.14130909428673
am,Ridership_2040_high,Capitol,1810,45,40.22222222222222,37.28400149341915,-121.84184124217718
am,Ridership_2040_high,Gilroy,183,45,4.066666666666666,37.004510163602646,-121.56675298501878
am,Ridership_2040_high,Hayward Park,20208,59,342.50847457627117,37.5529445877276,-122.30942618742424
am,Ridership_2040_high,Hillsdale,21014,59,356.1694915254237,37.54157217114981,-122.30068921820495
am,Ridership_2040_high,Lawrence,12115,36,336.52777777777777,37.37054208586365,-121.99678611573393
am,Ridership_2040_high,Menlo Park,18249,58,314.63793103448273,37.45481747441266,-122.18234505381756
am,Ridership_2040_high,Millbrae,22547,59,382.1525423728813,37.60005813774365,-122.38716357110485
am,Ridership_2040_high,Morgan Hill,406,45,9.022222222222222,37.12973319634205,-121.650645664784
am,Ridership_2040_high,Mountain View,21200,57,371.9298245614035,37.39445754646227,-122.07593286878692
am,Ridership_2040_high,Palo Alto,20987,58,361.8448275862069,37.44319218110702,-122.16441235036379
am,Ridership_2040_high,Redwood City,20445,58,352.5,37.48575969310709,-122.23136195740514
am,Ridership_2040_high,San Antonio,18825,57,330.2631578947368,37.407509282199506,-122.10751724793137
am,Ridership_2040_high,San Bruno,21432,59,363.2542372881356,37.630742889729746,-122.41180196248293
am,Ridership_2040_high,San Carlos,19521,39,500.53846153846155,37.50812619416385,-122.26029797578131
am,Ridership_2040_high,San Jose Diridon,11098,54,205.5185185185185,37.32973433784033,-121.90337965869688
am,Ridership_2040_high,San Mateo,20910,59,354.40677966101697,37.5681603459612,-122.32391967532075
am,Ridership_2040_high,Santa Clara,11253,36,312.5833333333333,37.353207282614996,-121.93549376712492
am,Ridership_2040_high,South San Francisco,22373,59,379.20338983050846,37.65434311314393,-122.40632367452082
am,Ridership_2040_high,Sunnyvale,17424,57,305.6842105263158,37.37884425148521,-122.03140710781794
am,Ridership_2040_high,Tamien,4391,54,81.31481481481481,37.31274326682811,-121.88475697613043
am,Ridership_2040_high,Transbay,10482,58,180.72413793103448,37.789051867125714,-122.39702424974188
am,Ridership_2040_moderate,22nd St,21024,47,447.3191489361702,37.757576360740146,-122.39241209707016
