TOD,Scenario,Station_Name,Ridership_Number,lat,lon
am,Ridership_2040_high,Millbrae,955606,37.60005813774365,-122.38716357110485
am,Ridership_2040_high,Morgan Hill,15686,37.12973319634205,-121.650645664784
am,Ridership_2040_high,Mountain View,799149,37.39445754646227,-122.07593286878692
am,Ridership_2040_high,Palo Alto,883934,37.44319218110702,-122.16441235036379
am,Ridership_2040_high,Redwood City,896613,37.48575969310709,-122.23136195740514
am,Ridership_2040_high,San Antonio,768800,37.407509282199506,-122.10751724793137
am,Ridership_2040_high,San Bruno,911028,37.630742889729746,-122.41180196248293
am,Ridership_2040_high,San Carlos,880059,37.50812619416385,-122.26029797578131
am,Ridership_2040_high,San Jose Diridon,372372,37.32973433784033,-121.90337965869688
am,Ridership_2040_high,San Martin,8091,37.08595316953493,-121.61044251655308
am,Ridership_2040_high,San Mateo,925164,37.5681603459612,-122.32391967532075
am,Ridership_2040_high,Santa Clara,422034,37.353207282614996,-121.93549376712492
am,Ridership_2040_high,South San Francisco,930930,37.65434311314393,-122.40632367452082
am,Ridership_2040_high,Sunnyvale,674870,37.37884425148521,-122.03140710781794
am,Ridership_2040_high,Tamien,156085,37.31274326682811,-121.88475697613043
am,Ridership_2040_high,Transbay,440200,37.789051867125714,-122.39702424974188
am,Ridership_2040_moderate,22nd St,847075,37.757576360740146,-122.39241209707016
am,Ridership_2040_moderate,4th and King,827142,37.77673761681249,-122.39494716886722
am,Ridership_2040_moderate,Atherton,731817,37.46447556254199,-122.19767440578178
am,Ridership_2040_moderate,Bayshore,852438,37.707716194010786,-122.40181692100869
am,Ridership_2040_moderate,Belmont,790903,37.52120335901958,-122.27624353516848
am,Ridership_2040_moderate,Blossom Hill,42036,37.252451211010396,-121.79772696072882
am,Ridership_2040_moderate,Broadway,847943,37.58728824070041,-122.36206316363042
am,Ridership_2040_moderate,Burlingame,849679,37.579784239598354,-122.34406869702896
am,Ridership_2040_moderate,California Ave,745612,37.428924920324114,-122.14130909428673
am,Ridership_2040_moderate,Capitol,62000,37.28400149341915,-121.84184124217718
am,Ridership_2040_moderate,College Park,332041,37.34287482384451,-121.91566711874347
am,Ridership_2040_moderate,Gilroy,5859,37.004510163602646,-121.56675298501878
am,Ridership_2040_moderate,Hayward Park,837899,37.5529445877276,-122.30942618742424
am,Ridership_2040_moderate,Hillsdale,864528,37.54157217114981,-122.30068921820495
am,Ridership_2040_moderate,Lawrence,453406,37.37054208586365,-121.99678611573393
am,Ridership_2040_moderate,Menlo Park,739877,37.45481747441266,-122.18234505381756
am,Ridership_2040_moderate,Millbrae,896179,37.60005813774365,-122.38716357110485
am,Ridership_2040_moderate,Morgan Hill,12462,37.12973319634205,-121.650645664784
am,Ridership_2040_moderate,Mountain View,720502,37.39445754646227,-122.07593286878692
am,Ridership_2040_moderate,Palo Alto,791957,37.44319218110702,-122.16441235036379
am,Ridership_2040_moderate,Redwood City,810309,37.48575969310709,-122.23136195740514
am,Ridership_2040_moderate,San Antonio,701375,37.407509282199506,-122.10751724793137
am,Ridership_2040_moderate,San Bruno,856034,37.630742889729746,-122.41180196248293
am,Ridership_2040_moderate,San Carlos,793631,37.50812619416385,-122.26029797578131
am,Ridership_2040_moderate,San Jose Diridon,337249,37.32973433784033,-121.90337965869688
am,Ridership_2040_moderate,San Martin,5859,37.08595316953493,-121.61044251655308
am,Ridership_2040_moderate,San Mateo,848563,37.5681603459612,-122.32391967532075
am,Ridership_2040_moderate,Santa Clara,388678,37.353207282614996,-121.93549376712492
am,Ridership_2040_moderate,South San Francisco,876680,37.65434311314393,-122.40632367452082
am,Ridership_2040_moderate,Sunnyvale,614637,37.37884425148521,-122.03140710781794
am,Ridership_2040_moderate,Tamien,131936,37.31274326682811,-121.88475697613043
am,Ridership_2040_moderate,Transbay,468906,37.789051867125714,-122.39702424974188
ea,Ridership_2017_observed,22nd St,6603,37.757576360740146,-122.39241209707016
ea,Ridership_2017_observed,4th and King,6107,37.77673761681249,-122.39494716886722
ea,Ridership_2017_observed,Atherton,3627,37.46447556254199,-122.19767440578178
ea,Ridership_2017_observed,Bayshore,6758,37.707716194010786,-122.40181692100869
ea,Ridership_2017_observed,Belmont,5983,37.52120335901958,-122.27624353516848
ea,Ridership_2017_observed,Blossom Hill,0,37.252451211010396,-121.79772696072882
ea,Ridership_2017_observed,Broadway,7316,37.58728824070041,-122.36206316363042
ea,Ridership_2017_observed,Burlingame,7440,37.579784239598354,-122.34406869702896
ea,Ridership_2017_observed,California Ave,4340,37.428924920324114,-122.14130909428673
ea,Ridership_2017_observed,Capitol,0,37.28400149341915,-121.84184124217718
ea,Ridership_2017_observed,College Park,1674,37.34287482384451,-121.91566711874347
ea,Ridership_2017_observed,Gilroy,0,37.004510163602646,-121.56675298501878
ea,Ridership_2017_observed,Hayward Park,7254,37.5529445877276,-122.30942618742424
ea,Ridership_2017_observed,Hillsdale,7037,37.54157217114981,-122.30068921820495
ea,Ridership_2017_observed,Lawrence,2449,37.37054208586365,-121.99678611573393
ea,Ridership_2017_observed,Menlo Park,3720,37.45481747441266,-122.18234505381756
ea,Ridership_2017_observed,Millbrae,7781,37.60005813774365,-122.38716357110485
ea,Ridership_2017_observed,Morgan Hill,0,37.12973319634205,-121.650645664784
ea,Ridership_2017_observed,Mountain View,3751,37.39445754646227,-122.07593286878692
ea,Ridership_2017_observed,Palo Alto,4557,37.44319218110702,-122.16441235036379
ea,Ridership_2017_observed,Redwood City,4991,37.48575969310709,-122.23136195740514
ea,Ridership_2017_observed,San Antonio,3968,37.407509282199506,-122.10751724793137
ea,Ridership_2017_observed,San Bruno,7099,37.630742889729746,-122.41180196248293
ea,Ridership_2017_observed,San Carlos,5704,37.50812619416385,-122.26029797578131
ea,Ridership_2017_observed,San Jose Diridon,1674,37.32973433784033,-121.90337965869688
ea,Ridership_2017_observed,San Martin,0,37.08595316953493,-121.61044251655308
ea,Ridership_2017_observed,San Mateo,7223,37.5681603459612,-122.32391967532075
ea,Ridership_2017_observed,Santa Clara,2046,37.353207282614996,-121.93549376712492
ea,Ridership_2017_observed,South San Francisco,6975,37.65434311314393,-122.40632367452082
ea,Ridership_2017_observed,Sunnyvale,3348,37.37884425148521,-122.03140710781794
ea,Ridership_2017_observed,Tamien,434,37.31274326682811,-121.88475697613043
ea,Ridership_2017_observed,Transbay,0,37.789051867125714,-122.39702424974188
ea,Ridership_2040_HSR2,22nd St,14663,37.757576360740146,-122.39241209707016
ea,Ridership_2040_HSR2,4th and King,13640,37.77673761681249,-122.39494716886722
ea,Ridership_2040_HSR2,Atherton,8556,37.46447556254199,-122.19767440578178
ea,Ridership_2040_HSR2,Bayshore,14911,37.707716194010786,-122.40181692100869
ea,Ridership_2040_HSR2,Belmont,11129,37.52120335901958,-122.27624353516848
ea,Ridership_2040_HSR2,Blossom Hill,0,37.252451211010396,-121.79772696072882
ea,Ridership_2040_HSR2,Broadway,15004,37.58728824070041,-122.36206316363042
ea,Ridership_2040_HSR2,Burlingame,14787,37.579784239598354,-122.34406869702896
ea,Ridership_2040_HSR2,California Ave,7843,37.428924920324114,-122.14130909428673
ea,Ridership_2040_HSR2,Capitol,0,37.28400149341915,-121.84184124217718
ea,Ridership_2040_HSR2,College Park,2511,37.34287482384451,-121.91566711874347
ea,Ridership_2040_HSR2,Gilroy,0,37.004510163602646,-121.56675298501878
ea,Ridership_2040_HSR2,Hayward Park,13268,37.5529445877276,-122.30942618742424
ea,Ridership_2040_HSR2,Hillsdale,12865,37.54157217114981,-122.30068921820495
ea,Ridership_2040_HSR2,Lawrence,4464,37.37054208586365,-121.99678611573393
ea,Ridership_2040_HSR2,Menlo Park,8184,37.45481747441266,-122.18234505381756
ea,Ridership_2040_HSR2,Millbrae,15500,37.60005813774365,-122.38716357110485
ea,Ridership_2040_HSR2,Morgan Hill,0,37.12973319634205,-121.650645664784
