TOD,Scenario,Station_Name,Ridership_Number,lat,lon
am,Ridership_2040_high,Millbrae,546654,37.60005813774365,-122.38716357110485
am,Ridership_2040_high,Morgan Hill,13113,37.12973319634205,-121.650645664784
am,Ridership_2040_high,Mountain View,365862,37.39445754646227,-122.07593286878692
am,Ridership_2040_high,Palo Alto,606670,37.44319218110702,-122.16441235036379
am,Ridership_2040_high,Redwood City,687177,37.48575969310709,-122.23136195740514
am,Ridership_2040_high,San Antonio,370140,37.407509282199506,-122.10751724793137
am,Ridership_2040_high,San Bruno,496806,37.630742889729746,-122.41180196248293
am,Ridership_2040_high,San Carlos,652271,37.50812619416385,-122.26029797578131
am,Ridership_2040_high,San Jose Diridon,155496,37.32973433784033,-121.90337965869688
am,Ridership_2040_high,San Martin,6293,37.08595316953493,-121.61044251655308
am,Ridership_2040_high,San Mateo,581281,37.5681603459612,-122.32391967532075
am,Ridership_2040_high,Santa Clara,176576,37.353207282614996,-121.93549376712492
am,Ridership_2040_high,South San Francisco,515685,37.65434311314393,-122.40632367452082
am,Ridership_2040_high,Sunnyvale,261082,37.37884425148521,-122.03140710781794
am,Ridership_2040_high,Tamien,60698,37.31274326682811,-121.88475697613043
am,Ridership_2040_high,Transbay,152427,37.789051867125714,-122.39702424974188
am,Ridership_2040_moderate,22nd St,438278,37.757576360740146,-122.39241209707016
am,Ridership_2040_moderate,4th and King,362824,37.77673761681249,-122.39494716886722
am,Ridership_2040_moderate,Atherton,553970,37.46447556254199,-122.19767440578178
am,Ridership_2040_moderate,Bayshore,469867,37.707716194010786,-122.40181692100869
am,Ridership_2040_moderate,Belmont,565688,37.52120335901958,-122.27624353516848
am,Ridership_2040_moderate,Blossom Hill,18693,37.252451211010396,-121.79772696072882
am,Ridership_2040_moderate,Broadway,496620,37.58728824070041,-122.36206316363042
am,Ridership_2040_moderate,Burlingame,510663,37.579784239598354,-122.34406869702896
am,Ridership_2040_moderate,California Ave,359507,37.428924920324114,-122.14130909428673
am,Ridership_2040_moderate,Capitol,23932,37.28400149341915,-121.84184124217718
am,Ridership_2040_moderate,College Park,119009,37.34287482384451,-121.91566711874347
am,Ridership_2040_moderate,Gilroy,5146,37.004510163602646,-121.56675298501878
am,Ridership_2040_moderate,Hayward Park,535711,37.5529445877276,-122.30942618742424
am,Ridership_2040_moderate,Hillsdale,595200,37.54157217114981,-122.30068921820495
am,Ridership_2040_moderate,Lawrence,171988,37.37054208586365,-121.99678611573393
am,Ridership_2040_moderate,Menlo Park,556698,37.45481747441266,-122.18234505381756
am,Ridership_2040_moderate,Millbrae,519870,37.60005813774365,-122.38716357110485
am,Ridership_2040_moderate,Morgan Hill,10385,37.12973319634205,-121.650645664784
am,Ridership_2040_moderate,Mountain View,306342,37.39445754646227,-122.07593286878692
am,Ridership_2040_moderate,Palo Alto,537447,37.44319218110702,-122.16441235036379
am,Ridership_2040_moderate,Redwood City,611289,37.48575969310709,-122.23136195740514
am,Ridership_2040_moderate,San Antonio,315518,37.407509282199506,-122.10751724793137
am,Ridership_2040_moderate,San Bruno,474083,37.630742889729746,-122.41180196248293
am,Ridership_2040_moderate,San Carlos,572291,37.50812619416385,-122.26029797578131
am,Ridership_2040_moderate,San Jose Diridon,120931,37.32973433784033,-121.90337965869688
am,Ridership_2040_moderate,San Martin,5146,37.08595316953493,-121.61044251655308
am,Ridership_2040_moderate,San Mateo,527837,37.5681603459612,-122.32391967532075
am,Ridership_2040_moderate,Santa Clara,143716,37.353207282614996,-121.93549376712492
am,Ridership_2040_moderate,South San Francisco,493582,37.65434311314393,-122.40632367452082
am,Ridership_2040_moderate,Sunnyvale,206522,37.37884425148521,-122.03140710781794
am,Ridership_2040_moderate,Tamien,42873,37.31274326682811,-121.88475697613043
am,Ridership_2040_moderate,Transbay,172670,37.789051867125714,-122.39702424974188
ea,Ridership_2017_observed,22nd St,806,37.757576360740146,-122.39241209707016
ea,Ridership_2017_observed,4th and King,589,37.77673761681249,-122.39494716886722
ea,Ridership_2017_observed,Atherton,2325,37.46447556254199,-122.19767440578178
ea,Ridership_2017_observed,Bayshore,992,37.707716194010786,-122.40181692100869
ea,Ridership_2017_observed,Belmont,2945,37.52120335901958,-122.27624353516848
ea,Ridership_2017_observed,Blossom Hill,0,37.252451211010396,-121.79772696072882
ea,Ridership_2017_observed,Broadway,1333,37.58728824070041,-122.36206316363042
ea,Ridership_2017_observed,Burlingame,2046,37.579784239598354,-122.34406869702896
ea,Ridership_2017_observed,California Ave,1798,37.428924920324114,-122.14130909428673
ea,Ridership_2017_observed,Capitol,0,37.28400149341915,-121.84184124217718
ea,Ridership_2017_observed,College Park,744,37.34287482384451,-121.91566711874347
ea,Ridership_2017_observed,Gilroy,0,37.004510163602646,-121.56675298501878
ea,Ridership_2017_observed,Hayward Park,2759,37.5529445877276,-122.30942618742424
ea,Ridership_2017_observed,Hillsdale,2883,37.54157217114981,-122.30068921820495
