km,From:,REG (C-EXP),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),IC (HSR),HSR,HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),IC (HSR),HSR,HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,REG (C-EXP),IC (HSR),IC (HSR),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),IC (HSR),HSR,IC (HSR),IC (HSR),HSR,IC (HSR)
52,SANTA CLARA,|      ,5:39  ,|      ,|      ,|      ,  ,6:09  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,6:39  ,|      ,  ,|      ,|      ,  ,|      ,  ,7:09  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,7:39  ,|      ,  ,|      ,|      ,  ,|      ,  ,8:09  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,8:39  ,|      ,  ,|      ,|      ,  ,|      ,  ,9:09  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,9:39  ,|      ,  ,|      ,|      ,  ,|      ,  ,10:09  ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,10:39  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,11:39  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,12:39  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,13:39  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,14:39  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,15:39  ,|      ,  ,|      ,|      ,  ,16:09  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,16:39  ,|      ,  ,|      ,|      ,  ,|      ,  ,17:09  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,17:39  ,|      ,  ,|      ,|      ,  ,|      ,  ,18:09  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,18:39  ,|      ,  ,|      ,|      ,  ,|      ,  ,19:09  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,19:39  ,|      ,  ,|      ,|      ,  ,|      ,  ,20:09  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,20:39  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,21:39  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,22:39  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,23:39  ,  ,|      ,  ,  ,|      ,  
58,LAWRENCE,5:38  ,|      ,5:45  ,6:08  ,|      ,  ,|      ,6:15  ,  ,  ,|      ,6:38  ,  ,|      ,  ,|      ,6:45  ,  ,|      ,7:08  ,  ,|      ,  ,|      ,7:15  ,  ,  ,|      ,7:38  ,  ,|      ,  ,|      ,7:45  ,  ,|      ,8:08  ,  ,|      ,  ,|      ,8:15  ,  ,  ,|      ,8:38  ,  ,|      ,  ,|      ,8:45  ,  ,|      ,9:08  ,  ,|      ,  ,|      ,9:15  ,  ,  ,|      ,9:38  ,  ,|      ,  ,|      ,9:45  ,  ,|      ,10:08  ,  ,|      ,  ,|      ,10:15  ,10:15  ,  ,  ,|      ,10:38  ,  ,  ,|      ,  ,|      ,  ,|      ,|      ,11:15  ,  ,  ,|      ,  ,11:38  ,|      ,  ,|      ,12:15  ,  ,  ,|      ,  ,12:38  ,|      ,  ,|      ,13:15  ,  ,  ,|      ,  ,13:38  ,|      ,  ,|      ,14:15  ,  ,  ,|      ,  ,14:38  ,|      ,  ,|      ,15:15  ,  ,  ,|      ,  ,15:38  ,|      ,15:45  ,  ,16:08  ,|      ,  ,|      ,16:15  ,  ,  ,|      ,16:38  ,  ,|      ,  ,|      ,16:45  ,  ,|      ,17:08  ,  ,|      ,  ,|      ,17:15  ,  ,  ,|      ,17:38  ,  ,|      ,  ,|      ,17:45  ,  ,|      ,18:08  ,  ,|      ,  ,|      ,18:15  ,  ,  ,|      ,18:38  ,  ,|      ,  ,|      ,18:45  ,  ,|      ,19:08  ,  ,|      ,  ,|      ,19:15  ,  ,  ,|      ,19:38  ,  ,|      ,  ,|      ,19:45  ,  ,|      ,20:08  ,  ,|      ,  ,|      ,20:15  ,  ,  ,|      ,20:38  ,  ,|      ,  ,|      ,  ,|      ,|      ,21:15  ,  ,  ,|      ,  ,21:38  ,|      ,  ,|      ,22:15  ,  ,  ,|      ,  ,22:38  ,|      ,  ,|      ,23:15  ,  ,  ,|      ,  ,23:38  ,|      ,  ,|      ,  ,  ,|      ,  
61,SUNNYVALE,|      ,5:45  ,5:48  ,|      ,|      ,  ,6:15  ,6:18  ,  ,  ,|      ,|      ,  ,|      ,  ,6:45  ,6:48  ,  ,|      ,|      ,  ,|      ,  ,7:15  ,7:18  ,  ,  ,|      ,|      ,  ,|      ,  ,7:45  ,7:48  ,  ,|      ,|      ,  ,|      ,  ,8:15  ,8:18  ,  ,  ,|      ,|      ,  ,|      ,  ,8:45  ,8:48  ,  ,|      ,|      ,  ,|      ,  ,9:15  ,9:18  ,  ,  ,|      ,|      ,  ,|      ,  ,9:45  ,9:48  ,  ,|      ,|      ,  ,|      ,  ,10:15  ,10:18  ,10:19  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,10:45  ,  ,|      ,|      ,11:19  ,  ,  ,|      ,  ,|      ,11:45  ,  ,|      ,12:19  ,  ,  ,|      ,  ,|      ,12:45  ,  ,|      ,13:19  ,  ,  ,|      ,  ,|      ,13:45  ,  ,|      ,14:19  ,  ,  ,|      ,  ,|      ,14:45  ,  ,|      ,15:19  ,  ,  ,|      ,  ,|      ,15:45  ,15:49  ,  ,|      ,|      ,  ,16:15  ,16:19  ,  ,  ,|      ,|      ,  ,|      ,  ,16:45  ,16:49  ,  ,|      ,|      ,  ,|      ,  ,17:15  ,17:19  ,  ,  ,|      ,|      ,  ,|      ,  ,17:45  ,17:49  ,  ,|      ,|      ,  ,|      ,  ,18:15  ,18:19  ,  ,  ,|      ,|      ,  ,|      ,  ,18:45  ,18:49  ,  ,|      ,|      ,  ,|      ,  ,19:15  ,19:19  ,  ,  ,|      ,|      ,  ,|      ,  ,19:45  ,19:49  ,  ,|      ,|      ,  ,|      ,  ,20:15  ,20:19  ,  ,  ,|      ,|      ,  ,|      ,  ,20:45  ,  ,|      ,|      ,21:19  ,  ,  ,|      ,  ,|      ,21:45  ,  ,|      ,22:19  ,  ,  ,|      ,  ,|      ,22:45  ,  ,|      ,23:19  ,  ,  ,|      ,  ,|      ,23:45  ,  ,|      ,  ,  ,|      ,  
65,MOUNTAIN VIEW,5:43  ,5:48  ,5:52  ,6:13  ,|      ,  ,6:18  ,6:22  ,  ,  ,|      ,6:43  ,  ,|      ,  ,6:48  ,6:52  ,  ,|      ,7:13  ,  ,|      ,  ,7:18  ,7:22  ,  ,  ,|      ,7:43  ,  ,|      ,  ,7:48  ,7:52  ,  ,|      ,8:13  ,  ,|      ,  ,8:18  ,8:22  ,  ,  ,|      ,8:43  ,  ,|      ,  ,8:48  ,8:52  ,  ,|      ,9:13  ,  ,|      ,  ,9:18  ,9:22  ,  ,  ,|      ,9:43  ,  ,|      ,  ,9:48  ,9:52  ,  ,|      ,10:13  ,  ,|      ,  ,10:18  ,10:22  ,10:22  ,  ,  ,|      ,10:43  ,  ,  ,|      ,  ,10:48  ,  ,|      ,|      ,11:22  ,  ,  ,|      ,  ,11:43  ,11:48  ,  ,|      ,12:22  ,  ,  ,|      ,  ,12:43  ,12:48  ,  ,|      ,13:22  ,  ,  ,|      ,  ,13:43  ,13:48  ,  ,|      ,14:22  ,  ,  ,|      ,  ,14:43  ,14:48  ,  ,|      ,15:22  ,  ,  ,|      ,  ,15:43  ,15:48  ,15:52  ,  ,16:13  ,|      ,  ,16:18  ,16:22  ,  ,  ,|      ,16:43  ,  ,|      ,  ,16:48  ,16:52  ,  ,|      ,17:13  ,  ,|      ,  ,17:18  ,17:22  ,  ,  ,|      ,17:43  ,  ,|      ,  ,17:48  ,17:52  ,  ,|      ,18:13  ,  ,|      ,  ,18:18  ,18:22  ,  ,  ,|      ,18:43  ,  ,|      ,  ,18:48  ,18:52  ,  ,|      ,19:13  ,  ,|      ,  ,19:18  ,19:22  ,  ,  ,|      ,19:43  ,  ,|      ,  ,19:48  ,19:52  ,  ,|      ,20:13  ,  ,|      ,  ,20:18  ,20:22  ,  ,  ,|      ,20:43  ,  ,|      ,  ,20:48  ,  ,|      ,|      ,21:22  ,  ,  ,|      ,  ,21:43  ,21:48  ,  ,|      ,22:22  ,  ,  ,|      ,  ,22:43  ,22:48  ,  ,|      ,23:22  ,  ,  ,|      ,  ,23:43  ,23:48  ,  ,|      ,  ,  ,|      ,  
69,SAN ANTONIO,|      ,|      ,5:56  ,|      ,|      ,  ,|      ,6:26  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,6:56  ,  ,|      ,|      ,  ,|      ,  ,|      ,7:26  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,7:56  ,  ,|      ,|      ,  ,|      ,  ,|      ,8:26  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,8:56  ,  ,|      ,|      ,  ,|      ,  ,|      ,9:26  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,9:56  ,  ,|      ,|      ,  ,|      ,  ,|      ,10:26  ,10:26  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,|      ,|      ,11:26  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,12:26  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,13:26  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,14:26  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,15:26  ,  ,  ,|      ,  ,|      ,|      ,15:56  ,  ,|      ,|      ,  ,|      ,16:26  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,16:56  ,  ,|      ,|      ,  ,|      ,  ,|      ,17:26  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,17:56  ,  ,|      ,|      ,  ,|      ,  ,|      ,18:26  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,18:56  ,  ,|      ,|      ,  ,|      ,  ,|      ,19:26  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,19:56  ,  ,|      ,|      ,  ,|      ,  ,|      ,20:26  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,21:26  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,22:26  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,23:26  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  
72,CALIFORNIA AVENUE,|      ,5:53  ,|      ,|      ,|      ,  ,6:23  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,6:53  ,|      ,  ,|      ,|      ,  ,|      ,  ,7:23  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,7:53  ,|      ,  ,|      ,|      ,  ,|      ,  ,8:23  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,8:53  ,|      ,  ,|      ,|      ,  ,|      ,  ,9:23  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,9:53  ,|      ,  ,|      ,|      ,  ,|      ,  ,10:23  ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,10:53  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,11:53  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,12:53  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,13:53  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,14:53  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,15:53  ,|      ,  ,|      ,|      ,  ,16:23  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,16:53  ,|      ,  ,|      ,|      ,  ,|      ,  ,17:23  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,17:53  ,|      ,  ,|      ,|      ,  ,|      ,  ,18:23  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,18:53  ,|      ,  ,|      ,|      ,  ,|      ,  ,19:23  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,19:53  ,|      ,  ,|      ,|      ,  ,|      ,  ,20:23  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,20:53  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,21:53  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,22:53  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,23:53  ,  ,|      ,  ,  ,|      ,  
75,PALO ALTO,5:50  ,5:57  ,6:00  ,6:20  ,|      ,  ,6:27  ,6:30  ,  ,  ,|      ,6:50  ,  ,|      ,  ,6:57  ,7:00  ,  ,|      ,7:20  ,  ,|      ,  ,7:27  ,7:30  ,  ,  ,|      ,7:50  ,  ,|      ,  ,7:57  ,8:00  ,  ,|      ,8:20  ,  ,|      ,  ,8:27  ,8:30  ,  ,  ,|      ,8:50  ,  ,|      ,  ,8:57  ,9:00  ,  ,|      ,9:20  ,  ,|      ,  ,9:27  ,9:30  ,  ,  ,|      ,9:50  ,  ,|      ,  ,9:57  ,10:00  ,  ,|      ,10:20  ,  ,|      ,  ,10:27  ,10:30  ,10:30  ,  ,  ,|      ,10:50  ,  ,  ,|      ,  ,10:57  ,  ,|      ,|      ,11:30  ,  ,  ,|      ,  ,11:50  ,11:57  ,  ,|      ,12:30  ,  ,  ,|      ,  ,12:50  ,12:57  ,  ,|      ,13:30  ,  ,  ,|      ,  ,13:50  ,13:57  ,  ,|      ,14:30  ,  ,  ,|      ,  ,14:50  ,14:57  ,  ,|      ,15:30  ,  ,  ,|      ,  ,15:50  ,15:57  ,16:00  ,  ,16:20  ,|      ,  ,16:27  ,16:30  ,  ,  ,|      ,16:50  ,  ,|      ,  ,16:57  ,17:00  ,  ,|      ,17:20  ,  ,|      ,  ,17:27  ,17:30  ,  ,  ,|      ,17:50  ,  ,|      ,  ,17:57  ,18:00  ,  ,|      ,18:20  ,  ,|      ,  ,18:27  ,18:30  ,  ,  ,|      ,18:50  ,  ,|      ,  ,18:57  ,19:00  ,  ,|      ,19:20  ,  ,|      ,  ,19:27  ,19:30  ,  ,  ,|      ,19:50  ,  ,|      ,  ,19:57  ,20:00  ,  ,|      ,20:20  ,  ,|      ,  ,20:27  ,20:30  ,  ,  ,|      ,20:50  ,  ,|      ,  ,20:57  ,  ,|      ,|      ,21:30  ,  ,  ,|      ,  ,21:50  ,21:57  ,  ,|      ,22:30  ,  ,  ,|      ,  ,22:50  ,22:57  ,  ,|      ,23:30  ,  ,  ,|      ,  ,23:50  ,23:57  ,  ,|      ,  ,  ,|      ,  
77,MENLO PARK,|      ,5:59  ,|      ,|      ,|      ,  ,6:29  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,6:59  ,|      ,  ,|      ,|      ,  ,|      ,  ,7:29  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,7:59  ,|      ,  ,|      ,|      ,  ,|      ,  ,8:29  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,8:59  ,|      ,  ,|      ,|      ,  ,|      ,  ,9:29  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,9:59  ,|      ,  ,|      ,|      ,  ,|      ,  ,10:29  ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,10:59  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,11:59  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,12:59  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,13:59  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,14:59  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,15:59  ,|      ,  ,|      ,|      ,  ,16:29  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,16:59  ,|      ,  ,|      ,|      ,  ,|      ,  ,17:29  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,17:59  ,|      ,  ,|      ,|      ,  ,|      ,  ,18:29  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,18:59  ,|      ,  ,|      ,|      ,  ,|      ,  ,19:29  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,19:59  ,|      ,  ,|      ,|      ,  ,|      ,  ,20:29  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,20:59  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,21:59  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,22:59  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,23:59  ,  ,|      ,  ,  ,|      ,  
79,ATHERTON,5:53  ,|      ,|      ,6:23  ,|      ,  ,|      ,|      ,  ,  ,|      ,6:53  ,  ,|      ,  ,|      ,|      ,  ,|      ,7:23  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,7:53  ,  ,|      ,  ,|      ,|      ,  ,|      ,8:23  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,8:53  ,  ,|      ,  ,|      ,|      ,  ,|      ,9:23  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,9:53  ,  ,|      ,  ,|      ,|      ,  ,|      ,10:23  ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,10:53  ,  ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,11:53  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,12:53  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,13:53  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,14:53  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,15:53  ,|      ,|      ,  ,16:23  ,|      ,  ,|      ,|      ,  ,  ,|      ,16:53  ,  ,|      ,  ,|      ,|      ,  ,|      ,17:23  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,17:53  ,  ,|      ,  ,|      ,|      ,  ,|      ,18:23  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,18:53  ,  ,|      ,  ,|      ,|      ,  ,|      ,19:23  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,19:53  ,  ,|      ,  ,|      ,|      ,  ,|      ,20:23  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,20:53  ,  ,|      ,  ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,21:53  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,22:53  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,23:53  ,|      ,  ,|      ,  ,  ,|      ,  
83,REDWOOD CITY,5:57  ,|      ,6:05  ,6:27  ,|      ,  ,|      ,6:35  ,  ,  ,|      ,6:57  ,  ,|      ,  ,|      ,7:05  ,  ,|      ,7:27  ,  ,|      ,  ,|      ,7:35  ,  ,  ,|      ,7:57  ,  ,|      ,  ,|      ,8:05  ,  ,|      ,8:27  ,  ,|      ,  ,|      ,8:35  ,  ,  ,|      ,8:57  ,  ,|      ,  ,|      ,9:05  ,  ,|      ,9:27  ,  ,|      ,  ,|      ,9:35  ,  ,  ,|      ,9:57  ,  ,|      ,  ,|      ,10:05  ,  ,|      ,10:27  ,  ,|      ,  ,|      ,10:35  ,10:36  ,  ,  ,|      ,10:57  ,  ,  ,|      ,  ,|      ,  ,|      ,|      ,11:36  ,  ,  ,|      ,  ,11:57  ,|      ,  ,|      ,12:36  ,  ,  ,|      ,  ,12:57  ,|      ,  ,|      ,13:36  ,  ,  ,|      ,  ,13:57  ,|      ,  ,|      ,14:36  ,  ,  ,|      ,  ,14:57  ,|      ,  ,|      ,15:36  ,  ,  ,|      ,  ,15:57  ,|      ,16:06  ,  ,16:27  ,|      ,  ,|      ,16:36  ,  ,  ,|      ,16:57  ,  ,|      ,  ,|      ,17:06  ,  ,|      ,17:27  ,  ,|      ,  ,|      ,17:36  ,  ,  ,|      ,17:57  ,  ,|      ,  ,|      ,18:06  ,  ,|      ,18:27  ,  ,|      ,  ,|      ,18:36  ,  ,  ,|      ,18:57  ,  ,|      ,  ,|      ,19:06  ,  ,|      ,19:27  ,  ,|      ,  ,|      ,19:36  ,  ,  ,|      ,19:57  ,  ,|      ,  ,|      ,20:06  ,  ,|      ,20:27  ,  ,|      ,  ,|      ,20:36  ,  ,  ,|      ,20:57  ,  ,|      ,  ,|      ,  ,|      ,|      ,21:36  ,  ,  ,|      ,  ,21:57  ,|      ,  ,|      ,22:36  ,  ,  ,|      ,  ,22:57  ,|      ,  ,|      ,23:36  ,  ,  ,|      ,  ,23:57  ,|      ,  ,|      ,  ,  ,|      ,  
86,SAN CARLOS,|      ,|      ,6:08  ,|      ,|      ,  ,|      ,6:38  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,7:08  ,  ,|      ,|      ,  ,|      ,  ,|      ,7:38  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,8:08  ,  ,|      ,|      ,  ,|      ,  ,|      ,8:38  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,9:08  ,  ,|      ,|      ,  ,|      ,  ,|      ,9:38  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,10:08  ,  ,|      ,|      ,  ,|      ,  ,|      ,10:38  ,10:39  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,|      ,|      ,11:39  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,12:39  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,13:39  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,14:39  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,15:39  ,  ,  ,|      ,  ,|      ,|      ,16:09  ,  ,|      ,|      ,  ,|      ,16:39  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,17:09  ,  ,|      ,|      ,  ,|      ,  ,|      ,17:39  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,18:09  ,  ,|      ,|      ,  ,|      ,  ,|      ,18:39  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,19:09  ,  ,|      ,|      ,  ,|      ,  ,|      ,19:39  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,20:09  ,  ,|      ,|      ,  ,|      ,  ,|      ,20:39  ,  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,21:39  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,22:39  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,23:39  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  
88,BELMONT,|      ,6:06  ,|      ,|      ,|      ,  ,6:36  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,7:06  ,|      ,  ,|      ,|      ,  ,|      ,  ,7:36  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,8:06  ,|      ,  ,|      ,|      ,  ,|      ,  ,8:36  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,9:06  ,|      ,  ,|      ,|      ,  ,|      ,  ,9:36  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,10:06  ,|      ,  ,|      ,|      ,  ,|      ,  ,10:36  ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,|      ,  ,11:06  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,12:06  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,13:06  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,14:06  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,15:06  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,16:06  ,|      ,  ,|      ,|      ,  ,16:36  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,17:06  ,|      ,  ,|      ,|      ,  ,|      ,  ,17:36  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,18:06  ,|      ,  ,|      ,|      ,  ,|      ,  ,18:36  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,19:06  ,|      ,  ,|      ,|      ,  ,|      ,  ,19:36  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,20:06  ,|      ,  ,|      ,|      ,  ,|      ,  ,20:36  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,21:06  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,22:06  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,23:06  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,0:06  ,  ,|      ,  ,  ,|      ,  
