km,From:,IC (HSR),HSR,REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,IC (HSR),REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-EXP),REG (C-EXP)
29,BURLINGAME,  ,|      ,|      ,|      ,  ,  ,|      ,5:52  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,6:22  ,|      ,  ,|      ,|      ,  ,  ,|      ,6:52  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,7:22  ,|      ,  ,|      ,|      ,  ,  ,|      ,7:52  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,8:22  ,|      ,  ,|      ,|      ,  ,  ,|      ,8:52  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,9:22  ,|      ,  ,|      ,|      ,  ,  ,|      ,9:52  ,|      ,  ,|      ,|      ,  ,|      ,10:22  ,|      ,  ,|      ,|      ,  ,|      ,10:52  ,|      ,|      ,|      ,  ,|      ,11:52  ,|      ,|      ,|      ,  ,|      ,12:52  ,|      ,|      ,|      ,  ,|      ,13:52  ,|      ,|      ,|      ,  ,|      ,14:52  ,|      ,|      ,|      ,  ,|      ,15:52  ,|      ,  ,|      ,|      ,  ,|      ,16:22  ,|      ,  ,|      ,|      ,  ,|      ,16:52  ,|      ,  ,|      ,|      ,  ,|      ,17:22  ,|      ,  ,|      ,|      ,  ,|      ,17:52  ,|      ,  ,|      ,|      ,  ,|      ,18:22  ,|      ,  ,|      ,|      ,  ,|      ,18:52  ,|      ,  ,|      ,|      ,  ,|      ,19:22  ,|      ,  ,|      ,|      ,  ,|      ,19:52  ,|      ,  ,|      ,|      ,  ,|      ,20:22  ,|      ,  ,|      ,|      ,  ,|      ,20:52  ,|      ,|      ,|      ,  ,|      ,21:52  ,|      ,|      ,|      ,  ,|      ,22:52  ,|      ,|      ,|      ,  ,|      ,23:52  
31,SAN MATEO,  ,|      ,|      ,|      ,  ,  ,5:47  ,5:55  ,|      ,  ,|      ,|      ,  ,  ,  ,6:17  ,6:25  ,|      ,  ,|      ,|      ,  ,  ,6:47  ,6:55  ,|      ,  ,|      ,|      ,  ,  ,  ,7:17  ,7:25  ,|      ,  ,|      ,|      ,  ,  ,7:47  ,7:55  ,|      ,  ,|      ,|      ,  ,  ,  ,8:17  ,8:25  ,|      ,  ,|      ,|      ,  ,  ,8:47  ,8:55  ,|      ,  ,|      ,|      ,  ,  ,  ,9:17  ,9:25  ,|      ,  ,|      ,|      ,  ,  ,9:47  ,9:55  ,|      ,  ,|      ,|      ,  ,10:17  ,10:25  ,|      ,  ,|      ,|      ,  ,10:47  ,10:55  ,|      ,|      ,|      ,  ,11:47  ,11:55  ,|      ,|      ,|      ,  ,12:47  ,12:55  ,|      ,|      ,|      ,  ,13:47  ,13:55  ,|      ,|      ,|      ,  ,14:47  ,14:55  ,|      ,|      ,|      ,  ,15:47  ,15:55  ,|      ,  ,|      ,|      ,  ,16:17  ,16:25  ,|      ,  ,|      ,|      ,  ,16:47  ,16:55  ,|      ,  ,|      ,|      ,  ,17:17  ,17:25  ,|      ,  ,|      ,|      ,  ,17:47  ,17:55  ,|      ,  ,|      ,|      ,  ,18:17  ,18:25  ,|      ,  ,|      ,|      ,  ,18:47  ,18:55  ,|      ,  ,|      ,|      ,  ,19:17  ,19:25  ,|      ,  ,|      ,|      ,  ,19:47  ,19:55  ,|      ,  ,|      ,|      ,  ,20:17  ,20:25  ,|      ,  ,|      ,|      ,  ,20:47  ,20:55  ,|      ,|      ,|      ,  ,21:47  ,21:55  ,|      ,|      ,|      ,  ,22:47  ,22:55  ,|      ,|      ,|      ,  ,23:47  ,23:55  
33,HAYWARD PARK,  ,|      ,5:45  ,|      ,  ,  ,|      ,|      ,|      ,  ,6:15  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,6:45  ,|      ,  ,  ,|      ,|      ,|      ,  ,7:15  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,7:45  ,|      ,  ,  ,|      ,|      ,|      ,  ,8:15  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,8:45  ,|      ,  ,  ,|      ,|      ,|      ,  ,9:15  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,9:45  ,|      ,  ,  ,|      ,|      ,|      ,  ,10:15  ,|      ,  ,|      ,|      ,|      ,  ,10:45  ,|      ,  ,|      ,|      ,|      ,11:45  ,|      ,  ,|      ,|      ,|      ,12:45  ,|      ,  ,|      ,|      ,|      ,13:45  ,|      ,  ,|      ,|      ,|      ,14:45  ,|      ,  ,|      ,|      ,|      ,15:45  ,|      ,  ,|      ,|      ,|      ,  ,16:15  ,|      ,  ,|      ,|      ,|      ,  ,16:45  ,|      ,  ,|      ,|      ,|      ,  ,17:15  ,|      ,  ,|      ,|      ,|      ,  ,17:45  ,|      ,  ,|      ,|      ,|      ,  ,18:15  ,|      ,  ,|      ,|      ,|      ,  ,18:45  ,|      ,  ,|      ,|      ,|      ,  ,19:15  ,|      ,  ,|      ,|      ,|      ,  ,19:45  ,|      ,  ,|      ,|      ,|      ,  ,20:15  ,|      ,  ,|      ,|      ,|      ,  ,20:45  ,|      ,  ,|      ,|      ,|      ,21:45  ,|      ,  ,|      ,|      ,|      ,22:45  ,|      ,  ,|      ,|      ,|      ,23:45  ,|      ,  ,|      ,|      
35,HILLSDALE,  ,|      ,5:48  ,|      ,  ,  ,5:52  ,5:58  ,|      ,  ,6:18  ,|      ,  ,  ,  ,6:22  ,6:28  ,|      ,  ,6:48  ,|      ,  ,  ,6:52  ,6:58  ,|      ,  ,7:18  ,|      ,  ,  ,  ,7:22  ,7:28  ,|      ,  ,7:48  ,|      ,  ,  ,7:52  ,7:58  ,|      ,  ,8:18  ,|      ,  ,  ,  ,8:22  ,8:28  ,|      ,  ,8:48  ,|      ,  ,  ,8:52  ,8:58  ,|      ,  ,9:18  ,|      ,  ,  ,  ,9:22  ,9:28  ,|      ,  ,9:48  ,|      ,  ,  ,9:52  ,9:58  ,|      ,  ,10:18  ,|      ,  ,10:22  ,10:28  ,|      ,  ,10:48  ,|      ,  ,10:52  ,10:58  ,|      ,11:48  ,|      ,  ,11:52  ,11:58  ,|      ,12:48  ,|      ,  ,12:52  ,12:58  ,|      ,13:48  ,|      ,  ,13:52  ,13:58  ,|      ,14:48  ,|      ,  ,14:52  ,14:58  ,|      ,15:48  ,|      ,  ,15:52  ,15:58  ,|      ,  ,16:18  ,|      ,  ,16:22  ,16:28  ,|      ,  ,16:48  ,|      ,  ,16:52  ,16:58  ,|      ,  ,17:18  ,|      ,  ,17:22  ,17:28  ,|      ,  ,17:48  ,|      ,  ,17:52  ,17:58  ,|      ,  ,18:18  ,|      ,  ,18:22  ,18:28  ,|      ,  ,18:48  ,|      ,  ,18:52  ,18:58  ,|      ,  ,19:18  ,|      ,  ,19:22  ,19:28  ,|      ,  ,19:48  ,|      ,  ,19:52  ,19:58  ,|      ,  ,20:18  ,|      ,  ,20:22  ,20:28  ,|      ,  ,20:48  ,|      ,  ,20:52  ,20:58  ,|      ,21:48  ,|      ,  ,21:52  ,21:58  ,|      ,22:48  ,|      ,  ,22:52  ,22:58  ,|      ,23:48  ,|      ,  ,23:52  ,23:58  
38,BELMONT,  ,|      ,|      ,|      ,  ,  ,5:55  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,6:25  ,|      ,|      ,  ,|      ,|      ,  ,  ,6:55  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,7:25  ,|      ,|      ,  ,|      ,|      ,  ,  ,7:55  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,8:25  ,|      ,|      ,  ,|      ,|      ,  ,  ,8:55  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,9:25  ,|      ,|      ,  ,|      ,|      ,  ,  ,9:55  ,|      ,|      ,  ,|      ,|      ,  ,10:25  ,|      ,|      ,  ,|      ,|      ,  ,10:55  ,|      ,|      ,|      ,|      ,  ,11:55  ,|      ,|      ,|      ,|      ,  ,12:55  ,|      ,|      ,|      ,|      ,  ,13:55  ,|      ,|      ,|      ,|      ,  ,14:55  ,|      ,|      ,|      ,|      ,  ,15:55  ,|      ,|      ,  ,|      ,|      ,  ,16:25  ,|      ,|      ,  ,|      ,|      ,  ,16:55  ,|      ,|      ,  ,|      ,|      ,  ,17:25  ,|      ,|      ,  ,|      ,|      ,  ,17:55  ,|      ,|      ,  ,|      ,|      ,  ,18:25  ,|      ,|      ,  ,|      ,|      ,  ,18:55  ,|      ,|      ,  ,|      ,|      ,  ,19:25  ,|      ,|      ,  ,|      ,|      ,  ,19:55  ,|      ,|      ,  ,|      ,|      ,  ,20:25  ,|      ,|      ,  ,|      ,|      ,  ,20:55  ,|      ,|      ,|      ,|      ,  ,21:55  ,|      ,|      ,|      ,|      ,  ,22:55  ,|      ,|      ,|      ,|      ,  ,23:55  ,|      
40,SAN CARLOS,  ,|      ,5:52  ,|      ,  ,  ,|      ,|      ,|      ,  ,6:22  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,6:52  ,|      ,  ,  ,|      ,|      ,|      ,  ,7:22  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,7:52  ,|      ,  ,  ,|      ,|      ,|      ,  ,8:22  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,8:52  ,|      ,  ,  ,|      ,|      ,|      ,  ,9:22  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,9:52  ,|      ,  ,  ,|      ,|      ,|      ,  ,10:22  ,|      ,  ,|      ,|      ,|      ,  ,10:52  ,|      ,  ,|      ,|      ,|      ,11:52  ,|      ,  ,|      ,|      ,|      ,12:52  ,|      ,  ,|      ,|      ,|      ,13:52  ,|      ,  ,|      ,|      ,|      ,14:52  ,|      ,  ,|      ,|      ,|      ,15:52  ,|      ,  ,|      ,|      ,|      ,  ,16:22  ,|      ,  ,|      ,|      ,|      ,  ,16:52  ,|      ,  ,|      ,|      ,|      ,  ,17:22  ,|      ,  ,|      ,|      ,|      ,  ,17:52  ,|      ,  ,|      ,|      ,|      ,  ,18:22  ,|      ,  ,|      ,|      ,|      ,  ,18:52  ,|      ,  ,|      ,|      ,|      ,  ,19:22  ,|      ,  ,|      ,|      ,|      ,  ,19:52  ,|      ,  ,|      ,|      ,|      ,  ,20:22  ,|      ,  ,|      ,|      ,|      ,  ,20:52  ,|      ,  ,|      ,|      ,|      ,21:52  ,|      ,  ,|      ,|      ,|      ,22:52  ,|      ,  ,|      ,|      ,|      ,23:52  ,|      ,  ,|      ,|      
43,REDWOOD CITY,  ,|      ,5:56  ,|      ,  ,  ,|      ,6:04  ,|      ,  ,6:26  ,|      ,  ,  ,  ,|      ,6:34  ,|      ,  ,6:56  ,|      ,  ,  ,|      ,7:04  ,|      ,  ,7:26  ,|      ,  ,  ,  ,|      ,7:34  ,|      ,  ,7:56  ,|      ,  ,  ,|      ,8:04  ,|      ,  ,8:26  ,|      ,  ,  ,  ,|      ,8:34  ,|      ,  ,8:56  ,|      ,  ,  ,|      ,9:04  ,|      ,  ,9:26  ,|      ,  ,  ,  ,|      ,9:34  ,|      ,  ,9:56  ,|      ,  ,  ,|      ,10:04  ,|      ,  ,10:26  ,|      ,  ,|      ,10:34  ,|      ,  ,10:56  ,|      ,  ,|      ,11:04  ,|      ,11:56  ,|      ,  ,|      ,12:04  ,|      ,12:56  ,|      ,  ,|      ,13:04  ,|      ,13:56  ,|      ,  ,|      ,14:04  ,|      ,14:56  ,|      ,  ,|      ,15:04  ,|      ,15:56  ,|      ,  ,|      ,16:04  ,|      ,  ,16:26  ,|      ,  ,|      ,16:34  ,|      ,  ,16:56  ,|      ,  ,|      ,17:04  ,|      ,  ,17:26  ,|      ,  ,|      ,17:34  ,|      ,  ,17:56  ,|      ,  ,|      ,18:04  ,|      ,  ,18:26  ,|      ,  ,|      ,18:34  ,|      ,  ,18:56  ,|      ,  ,|      ,19:04  ,|      ,  ,19:26  ,|      ,  ,|      ,19:34  ,|      ,  ,19:56  ,|      ,  ,|      ,20:04  ,|      ,  ,20:26  ,|      ,  ,|      ,20:34  ,|      ,  ,20:56  ,|      ,  ,|      ,21:04  ,|      ,21:56  ,|      ,  ,|      ,22:04  ,|      ,22:56  ,|      ,  ,|      ,23:04  ,|      ,23:56  ,|      ,  ,|      ,0:04  
47,ATHERTON,  ,|      ,|      ,|      ,  ,  ,|      ,6:08  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,6:38  ,|      ,  ,|      ,|      ,  ,  ,|      ,7:08  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,7:38  ,|      ,  ,|      ,|      ,  ,  ,|      ,8:08  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,8:38  ,|      ,  ,|      ,|      ,  ,  ,|      ,9:08  ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,9:38  ,|      ,  ,|      ,|      ,  ,  ,|      ,10:08  ,|      ,  ,|      ,|      ,  ,|      ,10:38  ,|      ,  ,|      ,|      ,  ,|      ,11:08  ,|      ,|      ,|      ,  ,|      ,12:08  ,|      ,|      ,|      ,  ,|      ,13:08  ,|      ,|      ,|      ,  ,|      ,14:08  ,|      ,|      ,|      ,  ,|      ,15:08  ,|      ,|      ,|      ,  ,|      ,16:08  ,|      ,  ,|      ,|      ,  ,|      ,16:38  ,|      ,  ,|      ,|      ,  ,|      ,17:08  ,|      ,  ,|      ,|      ,  ,|      ,17:38  ,|      ,  ,|      ,|      ,  ,|      ,18:08  ,|      ,  ,|      ,|      ,  ,|      ,18:38  ,|      ,  ,|      ,|      ,  ,|      ,19:08  ,|      ,  ,|      ,|      ,  ,|      ,19:38  ,|      ,  ,|      ,|      ,  ,|      ,20:08  ,|      ,  ,|      ,|      ,  ,|      ,20:38  ,|      ,  ,|      ,|      ,  ,|      ,21:08  ,|      ,|      ,|      ,  ,|      ,22:08  ,|      ,|      ,|      ,  ,|      ,23:08  ,|      ,|      ,|      ,  ,|      ,0:08  
49,MENLO PARK,  ,|      ,|      ,|      ,  ,  ,6:02  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,6:32  ,|      ,|      ,  ,|      ,|      ,  ,  ,7:02  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,7:32  ,|      ,|      ,  ,|      ,|      ,  ,  ,8:02  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,8:32  ,|      ,|      ,  ,|      ,|      ,  ,  ,9:02  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,9:32  ,|      ,|      ,  ,|      ,|      ,  ,  ,10:02  ,|      ,|      ,  ,|      ,|      ,  ,10:32  ,|      ,|      ,  ,|      ,|      ,  ,11:02  ,|      ,|      ,|      ,|      ,  ,12:02  ,|      ,|      ,|      ,|      ,  ,13:02  ,|      ,|      ,|      ,|      ,  ,14:02  ,|      ,|      ,|      ,|      ,  ,15:02  ,|      ,|      ,|      ,|      ,  ,16:02  ,|      ,|      ,  ,|      ,|      ,  ,16:32  ,|      ,|      ,  ,|      ,|      ,  ,17:02  ,|      ,|      ,  ,|      ,|      ,  ,17:32  ,|      ,|      ,  ,|      ,|      ,  ,18:02  ,|      ,|      ,  ,|      ,|      ,  ,18:32  ,|      ,|      ,  ,|      ,|      ,  ,19:02  ,|      ,|      ,  ,|      ,|      ,  ,19:32  ,|      ,|      ,  ,|      ,|      ,  ,20:02  ,|      ,|      ,  ,|      ,|      ,  ,20:32  ,|      ,|      ,  ,|      ,|      ,  ,21:02  ,|      ,|      ,|      ,|      ,  ,22:02  ,|      ,|      ,|      ,|      ,  ,23:02  ,|      ,|      ,|      ,|      ,  ,0:02  ,|      
51,PALO ALTO,  ,|      ,6:01  ,|      ,  ,  ,6:05  ,6:11  ,|      ,  ,6:31  ,|      ,  ,  ,  ,6:35  ,6:41  ,|      ,  ,7:01  ,|      ,  ,  ,7:05  ,7:11  ,|      ,  ,7:31  ,|      ,  ,  ,  ,7:35  ,7:41  ,|      ,  ,8:01  ,|      ,  ,  ,8:05  ,8:11  ,|      ,  ,8:31  ,|      ,  ,  ,  ,8:35  ,8:41  ,|      ,  ,9:01  ,|      ,  ,  ,9:05  ,9:11  ,|      ,  ,9:31  ,|      ,  ,  ,  ,9:35  ,9:41  ,|      ,  ,10:01  ,|      ,  ,  ,10:05  ,10:11  ,|      ,  ,10:31  ,|      ,  ,10:35  ,10:41  ,|      ,  ,11:01  ,|      ,  ,11:05  ,11:11  ,|      ,12:01  ,|      ,  ,12:05  ,12:11  ,|      ,13:01  ,|      ,  ,13:05  ,13:11  ,|      ,14:01  ,|      ,  ,14:05  ,14:11  ,|      ,15:01  ,|      ,  ,15:05  ,15:11  ,|      ,16:01  ,|      ,  ,16:05  ,16:11  ,|      ,  ,16:31  ,|      ,  ,16:35  ,16:41  ,|      ,  ,17:01  ,|      ,  ,17:05  ,17:11  ,|      ,  ,17:31  ,|      ,  ,17:35  ,17:41  ,|      ,  ,18:01  ,|      ,  ,18:05  ,18:11  ,|      ,  ,18:31  ,|      ,  ,18:35  ,18:41  ,|      ,  ,19:01  ,|      ,  ,19:05  ,19:11  ,|      ,  ,19:31  ,|      ,  ,19:35  ,19:41  ,|      ,  ,20:01  ,|      ,  ,20:05  ,20:11  ,|      ,  ,20:31  ,|      ,  ,20:35  ,20:41  ,|      ,  ,21:01  ,|      ,  ,21:05  ,21:11  ,|      ,22:01  ,|      ,  ,22:05  ,22:11  ,|      ,23:01  ,|      ,  ,23:05  ,23:11  ,|      ,0:01  ,|      ,  ,0:05  ,0:11  
52,STANDFORD STADIUM,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      ,|      ,|      ,|      ,  ,|      ,|      
53,CALIFORNIA AVENUE,  ,|      ,|      ,|      ,  ,  ,6:08  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,6:38  ,|      ,|      ,  ,|      ,|      ,  ,  ,7:08  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,7:38  ,|      ,|      ,  ,|      ,|      ,  ,  ,8:08  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,8:38  ,|      ,|      ,  ,|      ,|      ,  ,  ,9:08  ,|      ,|      ,  ,|      ,|      ,  ,  ,  ,9:38  ,|      ,|      ,  ,|      ,|      ,  ,  ,10:08  ,|      ,|      ,  ,|      ,|      ,  ,10:38  ,|      ,|      ,  ,|      ,|      ,  ,11:08  ,|      ,|      ,|      ,|      ,  ,12:08  ,|      ,|      ,|      ,|      ,  ,13:08  ,|      ,|      ,|      ,|      ,  ,14:08  ,|      ,|      ,|      ,|      ,  ,15:08  ,|      ,|      ,|      ,|      ,  ,16:08  ,|      ,|      ,  ,|      ,|      ,  ,16:38  ,|      ,|      ,  ,|      ,|      ,  ,17:08  ,|      ,|      ,  ,|      ,|      ,  ,17:38  ,|      ,|      ,  ,|      ,|      ,  ,18:08  ,|      ,|      ,  ,|      ,|      ,  ,18:38  ,|      ,|      ,  ,|      ,|      ,  ,19:08  ,|      ,|      ,  ,|      ,|      ,  ,19:38  ,|      ,|      ,  ,|      ,|      ,  ,20:08  ,|      ,|      ,  ,|      ,|      ,  ,20:38  ,|      ,|      ,  ,|      ,|      ,  ,21:08  ,|      ,|      ,|      ,|      ,  ,22:08  ,|      ,|      ,|      ,|      ,  ,23:08  ,|      ,|      ,|      ,|      ,  ,0:08  ,|      
57,SAN ANTONIO,  ,|      ,6:05  ,|      ,  ,  ,|      ,|      ,|      ,  ,6:35  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,7:05  ,|      ,  ,  ,|      ,|      ,|      ,  ,7:35  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,8:05  ,|      ,  ,  ,|      ,|      ,|      ,  ,8:35  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,9:05  ,|      ,  ,  ,|      ,|      ,|      ,  ,9:35  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,10:05  ,|      ,  ,  ,|      ,|      ,|      ,  ,10:35  ,|      ,  ,|      ,|      ,|      ,  ,11:05  ,|      ,  ,|      ,|      ,|      ,12:05  ,|      ,  ,|      ,|      ,|      ,13:05  ,|      ,  ,|      ,|      ,|      ,14:05  ,|      ,  ,|      ,|      ,|      ,15:05  ,|      ,  ,|      ,|      ,|      ,16:05  ,|      ,  ,|      ,|      ,|      ,  ,16:35  ,|      ,  ,|      ,|      ,|      ,  ,17:05  ,|      ,  ,|      ,|      ,|      ,  ,17:35  ,|      ,  ,|      ,|      ,|      ,  ,18:05  ,|      ,  ,|      ,|      ,|      ,  ,18:35  ,|      ,  ,|      ,|      ,|      ,  ,19:05  ,|      ,  ,|      ,|      ,|      ,  ,19:35  ,|      ,  ,|      ,|      ,|      ,  ,20:05  ,|      ,  ,|      ,|      ,|      ,  ,20:35  ,|      ,  ,|      ,|      ,|      ,  ,21:05  ,|      ,  ,|      ,|      ,|      ,22:05  ,|      ,  ,|      ,|      ,|      ,23:05  ,|      ,  ,|      ,|      ,|      ,0:05  ,|      ,  ,|      ,|      
60,MOUNTAIN VIEW,  ,|      ,6:09  ,|      ,  ,  ,6:13  ,6:18  ,|      ,  ,6:39  ,|      ,  ,  ,  ,6:43  ,6:48  ,|      ,  ,7:09  ,|      ,  ,  ,7:13  ,7:18  ,|      ,  ,7:39  ,|      ,  ,  ,  ,7:43  ,7:48  ,|      ,  ,8:09  ,|      ,  ,  ,8:13  ,8:18  ,|      ,  ,8:39  ,|      ,  ,  ,  ,8:43  ,8:48  ,|      ,  ,9:09  ,|      ,  ,  ,9:13  ,9:18  ,|      ,  ,9:39  ,|      ,  ,  ,  ,9:43  ,9:48  ,|      ,  ,10:09  ,|      ,  ,  ,10:13  ,10:18  ,|      ,  ,10:39  ,|      ,  ,10:43  ,10:48  ,|      ,  ,11:09  ,|      ,  ,11:13  ,11:18  ,|      ,12:09  ,|      ,  ,12:13  ,12:18  ,|      ,13:09  ,|      ,  ,13:13  ,13:18  ,|      ,14:09  ,|      ,  ,14:13  ,14:18  ,|      ,15:09  ,|      ,  ,15:13  ,15:18  ,|      ,16:08  ,|      ,  ,16:13  ,16:18  ,|      ,  ,16:38  ,|      ,  ,16:43  ,16:48  ,|      ,  ,17:08  ,|      ,  ,17:13  ,17:18  ,|      ,  ,17:38  ,|      ,  ,17:43  ,17:48  ,|      ,  ,18:08  ,|      ,  ,18:13  ,18:18  ,|      ,  ,18:38  ,|      ,  ,18:43  ,18:48  ,|      ,  ,19:08  ,|      ,  ,19:13  ,19:18  ,|      ,  ,19:38  ,|      ,  ,19:43  ,19:48  ,|      ,  ,20:08  ,|      ,  ,20:13  ,20:18  ,|      ,  ,20:38  ,|      ,  ,20:43  ,20:48  ,|      ,  ,21:09  ,|      ,  ,21:13  ,21:18  ,|      ,22:09  ,|      ,  ,22:13  ,22:18  ,|      ,23:09  ,|      ,  ,23:13  ,23:18  ,|      ,0:09  ,|      ,  ,0:13  ,0:18  
