km,From:,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR
52,SANTA CLARA,5:24  ,|      ,  ,5:39  ,|      ,5:54  ,  ,|      ,  ,|      ,6:09  ,  ,  ,|      ,  ,|      ,6:24  ,  ,  ,|      ,  ,|      ,6:39  ,  ,|      ,  ,|      ,6:54  ,  ,  ,|      ,  ,|      ,7:09  ,  ,  ,|      ,  ,|      ,7:24  ,  ,  ,|      ,  ,|      ,7:39  ,  ,|      ,  ,|      ,7:54  ,  ,  ,|      ,  ,|      ,8:09  ,  ,  ,|      ,  ,|      ,8:24  ,  ,  ,|      ,  ,|      ,8:39  ,  ,|      ,  ,|      ,8:54  ,  ,  ,|      ,  ,|      ,9:09  ,  ,  ,|      ,  ,|      ,9:24  ,  ,  ,|      ,  ,|      ,9:39  ,  ,|      ,  ,|      ,9:54  ,  ,  ,|      ,  ,|      ,10:09  ,  ,  ,|      ,  ,|      ,10:24  ,  ,  ,|      ,  ,|      ,10:39  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,11:24  ,  ,  ,|      ,|      ,  ,11:39  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,12:24  ,  ,  ,|      ,|      ,  ,12:39  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,13:24  ,  ,  ,|      ,|      ,  ,13:39  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,14:24  ,  ,  ,|      ,|      ,  ,14:39  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,15:24  ,  ,  ,|      ,|      ,  ,15:39  ,|      ,15:54  ,  ,  ,|      ,  ,|      ,16:09  ,  ,  ,|      ,  ,|      ,16:24  ,  ,  ,|      ,  ,|      ,16:39  ,  ,|      ,  ,|      ,16:54  ,  ,  ,|      ,  ,|      ,17:09  ,  ,  ,|      ,  ,|      ,17:24  ,  ,  ,|      ,  ,|      ,17:39  ,  ,|      ,  ,|      ,17:54  ,  
58,LAWRENCE,5:29  ,|      ,  ,5:44  ,|      ,5:59  ,  ,|      ,  ,|      ,6:14  ,  ,  ,|      ,  ,|      ,6:29  ,  ,  ,|      ,  ,|      ,6:44  ,  ,|      ,  ,|      ,6:59  ,  ,  ,|      ,  ,|      ,7:14  ,  ,  ,|      ,  ,|      ,7:29  ,  ,  ,|      ,  ,|      ,7:44  ,  ,|      ,  ,|      ,7:59  ,  ,  ,|      ,  ,|      ,8:14  ,  ,  ,|      ,  ,|      ,8:29  ,  ,  ,|      ,  ,|      ,8:44  ,  ,|      ,  ,|      ,8:59  ,  ,  ,|      ,  ,|      ,9:14  ,  ,  ,|      ,  ,|      ,9:29  ,  ,  ,|      ,  ,|      ,9:44  ,  ,|      ,  ,|      ,9:59  ,  ,  ,|      ,  ,|      ,10:14  ,  ,  ,|      ,  ,|      ,10:29  ,  ,  ,|      ,  ,|      ,10:44  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,11:29  ,  ,  ,|      ,|      ,  ,11:44  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,12:29  ,  ,  ,|      ,|      ,  ,12:44  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,13:29  ,  ,  ,|      ,|      ,  ,13:44  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,14:29  ,  ,  ,|      ,|      ,  ,14:44  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,15:29  ,  ,  ,|      ,|      ,  ,15:44  ,|      ,15:59  ,  ,  ,|      ,  ,|      ,16:14  ,  ,  ,|      ,  ,|      ,16:29  ,  ,  ,|      ,  ,|      ,16:44  ,  ,|      ,  ,|      ,16:59  ,  ,  ,|      ,  ,|      ,17:14  ,  ,  ,|      ,  ,|      ,17:29  ,  ,  ,|      ,  ,|      ,17:44  ,  ,|      ,  ,|      ,17:59  ,  
61,SUNNYVALE,5:32  ,5:42  ,  ,5:47  ,5:57  ,6:02  ,  ,|      ,  ,6:12  ,6:17  ,  ,  ,|      ,  ,6:27  ,6:32  ,  ,  ,|      ,  ,6:42  ,6:47  ,  ,|      ,  ,6:57  ,7:02  ,  ,  ,|      ,  ,7:12  ,7:17  ,  ,  ,|      ,  ,7:27  ,7:32  ,  ,  ,|      ,  ,7:42  ,7:47  ,  ,|      ,  ,7:57  ,8:02  ,  ,  ,|      ,  ,8:12  ,8:17  ,  ,  ,|      ,  ,8:27  ,8:32  ,  ,  ,|      ,  ,8:42  ,8:47  ,  ,|      ,  ,8:57  ,9:02  ,  ,  ,|      ,  ,9:12  ,9:17  ,  ,  ,|      ,  ,9:27  ,9:32  ,  ,  ,|      ,  ,9:42  ,9:47  ,  ,|      ,  ,9:57  ,10:02  ,  ,  ,|      ,  ,10:12  ,10:17  ,  ,  ,|      ,  ,10:27  ,10:32  ,  ,  ,|      ,  ,10:42  ,10:47  ,  ,|      ,  ,10:57  ,  ,  ,|      ,  ,11:12  ,  ,  ,|      ,11:27  ,11:32  ,  ,  ,|      ,11:42  ,  ,11:47  ,11:57  ,  ,  ,|      ,  ,12:12  ,  ,  ,|      ,12:27  ,12:32  ,  ,  ,|      ,12:42  ,  ,12:47  ,12:57  ,  ,  ,|      ,  ,13:12  ,  ,  ,|      ,13:27  ,13:32  ,  ,  ,|      ,13:42  ,  ,13:47  ,13:57  ,  ,  ,|      ,  ,14:12  ,  ,  ,|      ,14:27  ,14:32  ,  ,  ,|      ,14:42  ,  ,14:47  ,14:57  ,  ,  ,|      ,  ,15:12  ,  ,  ,|      ,15:27  ,15:32  ,  ,  ,|      ,15:42  ,  ,15:47  ,15:57  ,16:02  ,  ,  ,|      ,  ,16:12  ,16:17  ,  ,  ,|      ,  ,16:27  ,16:32  ,  ,  ,|      ,  ,16:42  ,16:47  ,  ,|      ,  ,16:57  ,17:02  ,  ,  ,|      ,  ,17:12  ,17:17  ,  ,  ,|      ,  ,17:27  ,17:32  ,  ,  ,|      ,  ,17:42  ,17:47  ,  ,|      ,  ,17:57  ,18:02  ,  
65,MOUNTAIN VIEW,5:36  ,5:47  ,  ,5:50  ,6:02  ,6:06  ,  ,|      ,  ,6:17  ,6:20  ,  ,  ,|      ,  ,6:32  ,6:36  ,  ,  ,|      ,  ,6:47  ,6:50  ,  ,|      ,  ,7:02  ,7:06  ,  ,  ,|      ,  ,7:17  ,7:20  ,  ,  ,|      ,  ,7:32  ,7:36  ,  ,  ,|      ,  ,7:47  ,7:50  ,  ,|      ,  ,8:02  ,8:06  ,  ,  ,|      ,  ,8:17  ,8:20  ,  ,  ,|      ,  ,8:32  ,8:36  ,  ,  ,|      ,  ,8:47  ,8:50  ,  ,|      ,  ,9:02  ,9:06  ,  ,  ,|      ,  ,9:17  ,9:20  ,  ,  ,|      ,  ,9:32  ,9:36  ,  ,  ,|      ,  ,9:47  ,9:50  ,  ,|      ,  ,10:02  ,10:06  ,  ,  ,|      ,  ,10:17  ,10:20  ,  ,  ,|      ,  ,10:32  ,10:36  ,  ,  ,|      ,  ,10:47  ,10:50  ,  ,|      ,  ,11:02  ,  ,  ,|      ,  ,11:17  ,  ,  ,|      ,11:32  ,11:36  ,  ,  ,|      ,11:47  ,  ,11:50  ,12:02  ,  ,  ,|      ,  ,12:17  ,  ,  ,|      ,12:32  ,12:36  ,  ,  ,|      ,12:47  ,  ,12:50  ,13:02  ,  ,  ,|      ,  ,13:17  ,  ,  ,|      ,13:32  ,13:36  ,  ,  ,|      ,13:47  ,  ,13:50  ,14:02  ,  ,  ,|      ,  ,14:17  ,  ,  ,|      ,14:32  ,14:36  ,  ,  ,|      ,14:47  ,  ,14:50  ,15:02  ,  ,  ,|      ,  ,15:17  ,  ,  ,|      ,15:32  ,15:36  ,  ,  ,|      ,15:47  ,  ,15:50  ,16:02  ,16:06  ,  ,  ,|      ,  ,16:17  ,16:20  ,  ,  ,|      ,  ,16:32  ,16:36  ,  ,  ,|      ,  ,16:47  ,16:50  ,  ,|      ,  ,17:02  ,17:06  ,  ,  ,|      ,  ,17:17  ,17:20  ,  ,  ,|      ,  ,17:32  ,17:36  ,  ,  ,|      ,  ,17:47  ,17:50  ,  ,|      ,  ,18:02  ,18:06  ,  
69,SAN ANTONIO,5:39  ,|      ,  ,5:54  ,|      ,6:09  ,  ,|      ,  ,|      ,6:24  ,  ,  ,|      ,  ,|      ,6:39  ,  ,  ,|      ,  ,|      ,6:54  ,  ,|      ,  ,|      ,7:09  ,  ,  ,|      ,  ,|      ,7:24  ,  ,  ,|      ,  ,|      ,7:39  ,  ,  ,|      ,  ,|      ,7:54  ,  ,|      ,  ,|      ,8:09  ,  ,  ,|      ,  ,|      ,8:24  ,  ,  ,|      ,  ,|      ,8:39  ,  ,  ,|      ,  ,|      ,8:54  ,  ,|      ,  ,|      ,9:09  ,  ,  ,|      ,  ,|      ,9:24  ,  ,  ,|      ,  ,|      ,9:39  ,  ,  ,|      ,  ,|      ,9:54  ,  ,|      ,  ,|      ,10:09  ,  ,  ,|      ,  ,|      ,10:24  ,  ,  ,|      ,  ,|      ,10:39  ,  ,  ,|      ,  ,|      ,10:54  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,11:39  ,  ,  ,|      ,|      ,  ,11:54  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,12:39  ,  ,  ,|      ,|      ,  ,12:54  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,13:39  ,  ,  ,|      ,|      ,  ,13:54  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,14:39  ,  ,  ,|      ,|      ,  ,14:54  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,15:39  ,  ,  ,|      ,|      ,  ,15:54  ,|      ,16:09  ,  ,  ,|      ,  ,|      ,16:24  ,  ,  ,|      ,  ,|      ,16:39  ,  ,  ,|      ,  ,|      ,16:54  ,  ,|      ,  ,|      ,17:09  ,  ,  ,|      ,  ,|      ,17:24  ,  ,  ,|      ,  ,|      ,17:39  ,  ,  ,|      ,  ,|      ,17:54  ,  ,|      ,  ,|      ,18:09  ,  
72,CALIFORNIA AVENUE,5:46  ,|      ,  ,6:01  ,|      ,6:16  ,  ,|      ,  ,|      ,6:31  ,  ,  ,|      ,  ,|      ,6:46  ,  ,  ,|      ,  ,|      ,7:01  ,  ,|      ,  ,|      ,7:16  ,  ,  ,|      ,  ,|      ,7:31  ,  ,  ,|      ,  ,|      ,7:46  ,  ,  ,|      ,  ,|      ,8:01  ,  ,|      ,  ,|      ,8:16  ,  ,  ,|      ,  ,|      ,8:31  ,  ,  ,|      ,  ,|      ,8:46  ,  ,  ,|      ,  ,|      ,9:01  ,  ,|      ,  ,|      ,9:16  ,  ,  ,|      ,  ,|      ,9:31  ,  ,  ,|      ,  ,|      ,9:46  ,  ,  ,|      ,  ,|      ,10:01  ,  ,|      ,  ,|      ,10:16  ,  ,  ,|      ,  ,|      ,10:31  ,  ,  ,|      ,  ,|      ,10:46  ,  ,  ,|      ,  ,|      ,11:01  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,11:46  ,  ,  ,|      ,|      ,  ,12:01  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,12:46  ,  ,  ,|      ,|      ,  ,13:01  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,13:46  ,  ,  ,|      ,|      ,  ,14:01  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,14:46  ,  ,  ,|      ,|      ,  ,15:01  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,15:46  ,  ,  ,|      ,|      ,  ,16:01  ,|      ,16:16  ,  ,  ,|      ,  ,|      ,16:31  ,  ,  ,|      ,  ,|      ,16:46  ,  ,  ,|      ,  ,|      ,17:01  ,  ,|      ,  ,|      ,17:16  ,  ,  ,|      ,  ,|      ,17:31  ,  ,  ,|      ,  ,|      ,17:46  ,  ,  ,|      ,  ,|      ,18:01  ,  ,|      ,  ,|      ,18:16  ,  
75,PALO ALTO,5:49  ,5:53  ,  ,6:04  ,6:08  ,6:19  ,  ,|      ,  ,6:23  ,6:34  ,  ,  ,|      ,  ,6:38  ,6:49  ,  ,  ,|      ,  ,6:53  ,7:04  ,  ,|      ,  ,7:08  ,7:19  ,  ,  ,|      ,  ,7:23  ,7:34  ,  ,  ,|      ,  ,7:38  ,7:49  ,  ,  ,|      ,  ,7:53  ,8:04  ,  ,|      ,  ,8:08  ,8:19  ,  ,  ,|      ,  ,8:23  ,8:34  ,  ,  ,|      ,  ,8:38  ,8:49  ,  ,  ,|      ,  ,8:53  ,9:04  ,  ,|      ,  ,9:08  ,9:19  ,  ,  ,|      ,  ,9:23  ,9:34  ,  ,  ,|      ,  ,9:38  ,9:49  ,  ,  ,|      ,  ,9:53  ,10:04  ,  ,|      ,  ,10:08  ,10:19  ,  ,  ,|      ,  ,10:23  ,10:34  ,  ,  ,|      ,  ,10:38  ,10:49  ,  ,  ,|      ,  ,10:53  ,11:04  ,  ,|      ,  ,11:08  ,  ,  ,|      ,  ,11:23  ,  ,  ,|      ,11:38  ,11:49  ,  ,  ,|      ,11:53  ,  ,12:04  ,12:08  ,  ,  ,|      ,  ,12:23  ,  ,  ,|      ,12:38  ,12:49  ,  ,  ,|      ,12:53  ,  ,13:04  ,13:08  ,  ,  ,|      ,  ,13:23  ,  ,  ,|      ,13:38  ,13:49  ,  ,  ,|      ,13:53  ,  ,14:04  ,14:08  ,  ,  ,|      ,  ,14:23  ,  ,  ,|      ,14:38  ,14:49  ,  ,  ,|      ,14:53  ,  ,15:04  ,15:08  ,  ,  ,|      ,  ,15:23  ,  ,  ,|      ,15:38  ,15:49  ,  ,  ,|      ,15:53  ,  ,16:04  ,16:08  ,16:19  ,  ,  ,|      ,  ,16:23  ,16:34  ,  ,  ,|      ,  ,16:38  ,16:49  ,  ,  ,|      ,  ,16:53  ,17:04  ,  ,|      ,  ,17:08  ,17:19  ,  ,  ,|      ,  ,17:23  ,17:34  ,  ,  ,|      ,  ,17:38  ,17:49  ,  ,  ,|      ,  ,17:53  ,18:04  ,  ,|      ,  ,18:08  ,18:19  ,  
77,MENLO PARK,5:52  ,|      ,  ,|      ,|      ,6:22  ,  ,|      ,  ,|      ,6:37  ,  ,  ,|      ,  ,|      ,6:52  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,7:22  ,  ,  ,|      ,  ,|      ,7:37  ,  ,  ,|      ,  ,|      ,7:52  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,8:22  ,  ,  ,|      ,  ,|      ,8:37  ,  ,  ,|      ,  ,|      ,8:52  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,9:22  ,  ,  ,|      ,  ,|      ,9:37  ,  ,  ,|      ,  ,|      ,9:52  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,10:22  ,  ,  ,|      ,  ,|      ,10:37  ,  ,  ,|      ,  ,|      ,10:52  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,11:52  ,  ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,12:52  ,  ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,13:52  ,  ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,14:52  ,  ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,15:52  ,  ,  ,|      ,|      ,  ,|      ,|      ,16:22  ,  ,  ,|      ,  ,|      ,16:37  ,  ,  ,|      ,  ,|      ,16:52  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,17:22  ,  ,  ,|      ,  ,|      ,17:37  ,  ,  ,|      ,  ,|      ,17:52  ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,18:22  ,  
79,ATHERTON,|      ,|      ,↴      ,6:07  ,|      ,|      ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,7:07  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,8:07  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,9:07  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,10:07  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,11:07  ,  ,|      ,↴      ,|      ,  ,  ,|      ,↴      ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,↴      ,12:07  ,|      ,  ,  ,|      ,↴      ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,↴      ,13:07  ,|      ,  ,  ,|      ,↴      ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,↴      ,14:07  ,|      ,  ,  ,|      ,↴      ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,↴      ,15:07  ,|      ,  ,  ,|      ,↴      ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,↴      ,16:07  ,|      ,|      ,  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,17:07  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,|      ,  ,  ,|      ,↴      ,|      ,18:07  ,  ,|      ,↴      ,|      ,|      ,  
83,REDWOOD CITY,↳     ,5:58  ,6:00  ,↳     ,6:13  ,↳     ,  ,|      ,6:15  ,6:28  ,↳     ,  ,  ,|      ,6:30  ,6:43  ,↳     ,  ,  ,|      ,6:45  ,6:58  ,↳     ,  ,|      ,7:00  ,7:13  ,↳     ,  ,  ,|      ,7:15  ,7:28  ,↳     ,  ,  ,|      ,7:30  ,7:43  ,↳     ,  ,  ,|      ,7:45  ,7:58  ,↳     ,  ,|      ,8:00  ,8:13  ,↳     ,  ,  ,|      ,8:15  ,8:28  ,↳     ,  ,  ,|      ,8:30  ,8:43  ,↳     ,  ,  ,|      ,8:45  ,8:58  ,↳     ,  ,|      ,9:00  ,9:13  ,↳     ,  ,  ,|      ,9:15  ,9:28  ,↳     ,  ,  ,|      ,9:30  ,9:43  ,↳     ,  ,  ,|      ,9:45  ,9:58  ,↳     ,  ,|      ,10:00  ,10:13  ,↳     ,  ,  ,|      ,10:15  ,10:28  ,↳     ,  ,  ,|      ,10:30  ,10:43  ,↳     ,  ,  ,|      ,10:45  ,10:58  ,↳     ,  ,|      ,11:00  ,11:13  ,  ,  ,|      ,11:15  ,11:28  ,  ,  ,|      ,11:43  ,↳     ,  ,  ,|      ,11:58  ,12:00  ,↳     ,12:13  ,  ,  ,|      ,12:15  ,12:28  ,  ,  ,|      ,12:43  ,↳     ,  ,  ,|      ,12:58  ,13:00  ,↳     ,13:13  ,  ,  ,|      ,13:15  ,13:28  ,  ,  ,|      ,13:43  ,↳     ,  ,  ,|      ,13:58  ,14:00  ,↳     ,14:13  ,  ,  ,|      ,14:15  ,14:28  ,  ,  ,|      ,14:43  ,↳     ,  ,  ,|      ,14:58  ,15:00  ,↳     ,15:13  ,  ,  ,|      ,15:15  ,15:28  ,  ,  ,|      ,15:43  ,↳     ,  ,  ,|      ,15:58  ,16:00  ,↳     ,16:13  ,↳     ,  ,  ,|      ,16:15  ,16:28  ,↳     ,  ,  ,|      ,16:30  ,16:43  ,↳     ,  ,  ,|      ,16:45  ,16:58  ,↳     ,  ,|      ,17:00  ,17:13  ,↳     ,  ,  ,|      ,17:15  ,17:28  ,↳     ,  ,  ,|      ,17:30  ,17:43  ,↳     ,  ,  ,|      ,17:45  ,17:58  ,↳     ,  ,|      ,18:00  ,18:13  ,↳     ,  
86,SAN CARLOS,  ,|      ,6:04  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,6:34  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,7:04  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,7:34  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,8:04  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,8:34  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,9:04  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,9:34  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,10:04  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,10:34  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,11:04  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,12:04  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,13:04  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,14:04  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,15:04  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,16:04  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,16:34  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,17:04  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,17:34  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,18:04  ,|      ,  ,  
